genetree,Constrained_AU,absolute_delta,ABlength
10_combined_orthos_linsi_bmge30,0.563,4.1877,1.29683204
11_combined_orthos_linsi_bmge30,0.664,10.472,0.9690399948
12_combined_orthos_linsi_bmge30,0.542,1.858,1.091488955
13_combined_orthos_linsi_bmge30,0.512,0.44181,0.8496365151
14_combined_orthos_linsi_bmge30,0.537,1.6074,1.890256353
15_combined_orthos_linsi_bmge30,0.491,0.15522,2.724235055
16_combined_orthos_linsi_bmge30,0.542,2.8411,0.1823530185
17_combined_orthos_linsi_bmge30,0.373,10.672,1.218381169
18_and_36_spangstyle_bmge30,0.507,2.0032E-05,3.035784255
19_combined_orthos_linsi_bmge30,0.476,0.72162,1.505548634
1_combined_orthos_linsi_bmge30,0.463,2.6499,1.029543477
20_combined_orthos_linsi_bmge30,0.486,1.7672E-05,2.637780062
21_combined_orthos_linsi_bmge30,0.239,15.393,1.577650228
22_combined_orthos_bmge30,0.516,0.71084,1.565621114
23_combined_orthos_linsi_bmge30,0.447,2.4785,1.132117685
24_combined_orthos_linsi_bmge30,0.523,0.947,0.7931903849
25_combined_orthos_linsi_bmge30,0.489,1.0232,1.340190839
26_combined_orthos_linsi_bmge30,0.485,0.31565,1.600080405
27_combined_orthos_linsi_bmge30,0.414,3.5773,1.225667383
28_combined_orthos_linsi_bmge30,0.426,4.3623,2.319877661
29_combined_orthos_linsi_bmge30,0.565,2.4819,1.268192293
2_combined_orthos_linsi_bmge30,0.484,0.89763,1.038703866
30_combined_orthos_linsi_bmge30,0.433,1.4402,1.173327582
31_combined_sulf_linsi_bmge30,0.32,9.7411,1.848952926
32_combined_orthos_linsi_bmge30,0.453,2.1279,0.7702627159
33_combined_orthos_linsi_bmge30,0.496,0.20484,0.6113920031
34_combined_orthos_linsi_bmge30,0.507,0.0023025,2.850294389
35_combined_orthos_linsi_bmge30,0.382,4.2553,0.4369906519
37_combined_orthos_linsi_bmge30,0.472,1.706,0.8080562866
38_combined_orthos_linsi_bmge30,0.444,1.4036,0.7647233658
39_combined_orthos_linsi_bmge30,0.496,0.075098,1.160868062
3_combined_orthos_linsi_bmge30,0.482,0.034251,1.618628448
40_combined_orthos_linsi_bmge30,0.538,1.5181,1.022532861
41_combined_orthos_linsi_bmge30,0.523,1.095,2.391121044
42_combined_orthos_linsi_bmge30,0.483,0.67409,1.572376476
43_combined_orthos_linsi_bmge30,0.744,20.637,0.6275584436
44_combined_orthos_linsi_bmge30,0.453,2.1735,1.526620067
45_combined_orthos_linsi_bmge30,0.515,1.1907,0.8221582765
46_combined_orthos_linsi_bmge30,0.345,6.4005,0.6717911193
47_combined_orthos_linsi_bmge30,0.532,2.1243,3.831693037
48_combined_orthos_linsi_bmge30,0.491,0.16665,3.243513508
49_combined_orthos_linsi_bmge30,0.475,0.012858,1.12327001
50_combined_orthos_linsi_bmge30,0.49,5.3219E-05,1.530354075
51_combined_orthos_linsi_bmge30,0.492,0.00025209,1.734328339
5_combined_orthos_linsi_bmge30,0.477,0.33996,0.4336217878
6_combined_orthos_linsi_bmge30,0.568,3.8325,2.503345366
7_combined_orthos_linsi_bmge30,0.48,0.0021277,1.67228461
8_combined_orthos_linsi_bmge30,0.497,0.00014723,2.254879464
9_combined_orthos_linsi_bmge30,0.402,8.8097,0.9660235638
