genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0000,0.000494,747.24,2.44015057620273,0.0147592107,19.9,4.2,1.75540833148324
p0001,0.485,2.5354,9.58994228190516,1.994792843,21.9,3.1,2.28010667979652
p0002,6.04E-54,1045.8,11.6056102443998,0.1558429933,25.5,6.4,3.38874888917692
p0003,0.449,9.2112,18.1080498996261,5.256369164,14.2,1.7,4.29316660145776
p0004,0.388,38.735,17.1845541626772,1.574865839,21.2,2.3,3.83297079070841
p0005,8.33E-09,1253.8,1.52918674405201,0.0006773272,18.9,3.3,1.80240077485068
p0006,1.4E-06,605.98,1.18016556953219,0.0001965196,22.6,5.2,1.25776824066762
p0007,0.00403,490.1,1.58996602253076,1.2544E-06,33.5,6.5,1.33364822788357
p0008,0.00413,363.02,1.36255512456243,0.0275598095,23.6,3.2,1.34511203968088
p0009,1.17E-09,484.4,2.5785010017901,0.0783480907,21.6,7.1,1.35074521053009
p0010,0.52,2.344,32.9750868386545,6.872880493,13.4,2.4,5.16486827309918
p0011,0.043,223.26,2.75030273373786,0.0064372749,17.2,3.9,1.62499241427455
p0012,0.000366,543.17,1.82565491378093,2.2578E-06,31.1,9,1.72040599470253
p0013,1.54E-06,658.99,1.46897318499505,0.0056099652,19.3,2.9,1.17595445233915
p0014,0.000344,702.95,1.6144766020264,0.0136437512,26.5,7.3,1.89977831710902
p0015,2.31E-05,599.18,1.36758109867232,2.3097E-06,16.4,4.3,0.890118968663395
p0016,0.0482,235.08,1.20968275890285,0.0347399826,12.9,2.8,2.24668603777543
p0017,0.0737,183.46,1.28532237926819,0.0273259334,12.5,4.8,1.06958542659719
p0018,0.134,163.98,1.95024631606278,2.2038E-06,23.9,5.7,1.3208714475644
p0019,3.71E-11,1652.2,1.18840466114194,0.0124658975,18.8,5.9,1.77668169969753
p0020,0.00126,481.08,2.19220347906367,2.4197E-06,24.8,6.5,2.66266510269135
p0021,0.00379,343.78,1.34786051617961,2.8671E-06,14.6,4.4,0.89761699052237
p0022,1.58E-07,3146,1.17089082480749,2.0962E-06,44.8,12.7,2.88153416640809
p0023,0.373,36.344,6.60475506409521,1.958927656,13.5,2.3,2.45661568976791
p0024,0.122,207.69,1.21535164488381,2.8146E-06,33,9.7,1.59864803536072
p0025,1.07E-38,2397.9,1.17758500030924,2.1224E-06,48.3,9.2,1.69108705480724
p0026,0.0103,271.51,1.10094933978789,2.3792E-06,19.1,7.5,0.847951450117768
p0027,0.373,59.296,2.33334108890856,0.1418527765,20.1,2.3,1.14110655121135
p0028,0.000131,593.49,1.24277651114274,2.9108E-06,26.2,4.7,1.28852228032488
p0029,0.003,364.92,1.40855733122469,2.7169E-06,27.7,5.4,2.94079578525811
p0030,0.379,43.548,1.87540621334363,2.5033E-06,19.1,2.6,2.37392261853023
p0031,2.08E-05,620.52,1.15877253343384,0.0111533421,29.7,8.1,2.23551854624542
p0032,8.22E-58,934.14,3.93504666722609,2.9693E-06,20.9,5,6.93545134869062
p0033,0.000239,1042.3,1.15809477776524,2.0606E-06,35.2,10,1.33874226313072
p0034,3.07E-05,501.79,1.08975836073477,2.4269E-06,25.3,10,1.08456035412088
p0035,0.000277,467.71,1.61345264549397,2.837E-06,18.2,5.1,1.58047844681701
p0036,2.98E-51,2427.1,1.27177516933671,0.0015822398,29.3,5.5,1.39252012566108
p0037,0.000613,368.59,1.30485261170694,2.8773E-06,13.5,5.4,1.01104800345396
p0038,0.15,145.48,7.83011743149341,1.907076124,19.8,1.5,1.96587744818431
p0039,3.12E-05,730.31,1.17036348424668,2.8446E-06,20.1,5.4,1.25878961020335
p0041,4.09E-06,871.29,2.03581854418218,2.2864E-06,35.3,7.6,1.60682057352126
p0046,0.0422,212.14,1.41245786636542,0.1218006644,17.8,3.6,1.30500678854691
p0047,0.852,100.15,5.77391384706442,0.4859469205,21,2.7,2.81053048108258
p0048,0.414,39.336,1.42035003413832,0.0125054005,18.5,4.2,1.00603990780921
p0049,0.0232,274.77,4.21330229230062,2.9078E-06,21.4,5.6,3.13776368665375
p0051,0.000752,453.44,1.50113493119162,0.0043490576,24.6,5.8,1.56366013141568
p0052,0.433,18.852,2.35244840739902,2.7861E-06,17.1,2.5,3.55889691720155
p0055,0.752,54.482,1.94606055713685,5.884914936,12.6,3.8,4.77084146649673
p0056,0.198,120.88,4.14887075031295,0.975970587,20.7,2.7,1.59695319419226
p0058,0.00599,306.94,1.37260909221886,2.2345E-06,28.8,6.4,1.11349641262278
p0059,0.011,270.8,4.0379847348318,0.0353842288,22.3,4.1,1.99043608135474
p0060,0.301,69.485,0.998016625511574,2.344E-06,14,3.8,1.17609520855986
p0067,0.232,76.556,4.94407348866954,2.3405E-06,16.2,3.5,2.1469885779913
p0068,0.0204,257.2,1.25525335171511,2.7817E-06,13.6,4.8,1.64327578600642
p0069,0.000163,581.2,1.12830009852753,0.0075576578,31.1,9.4,1.42718348768654
p0071,0.428,34.449,1.85138180636612,0.0293601425,13.5,2.2,1.93994625761092
p0072,0.546,15.87,3.81466440728709,0.0866786248,20.6,1,2.31606364679008
p0073,0.000111,1524,1.19060238922755,2.6861E-06,38,10.2,1.2944959382306
p0074,4.17E-05,1309,1.12624640796757,2.3726E-06,41.6,10.9,2.97646446962202
p0075,7.19E-08,1285.6,1.74632811989273,0.0143485925,24.1,4.6,2.35704488186137
p0076,0.563,16.547,2.27486185594911,0.451044488,20.3,2.1,1.87151821874981
p0077,3.53E-35,1104.9,1.20528586672607,0.0570289665,34.3,7.8,1.955202060845
p0079,0.0705,161.89,1.65009553460487,2.4954E-06,11.9,3.8,2.32887288539293
p0080,0.0573,185.96,1.61771214272548,2.0783E-06,17.3,3.3,1.12499856554331
p0082,0.0338,288.78,3.2289596801386,0.0214641142,25.1,6.9,10.1556915632864
p0084,0.186,88.846,2.71453938064594,2.2246E-06,22,7.2,2.06158540341664
p0085,2.13E-05,522.21,0.971701634228564,2.1661E-06,19.4,5.6,1.47200544490718
p0086,0.0138,248.86,1.06072626668297,2.9079E-06,13.6,3.4,0.969365173540438
p0087,9.11E-05,624.58,1.32157765738773,2.4068E-06,33,3.9,1.48957717604336
p0089,2.99E-06,1077.1,1.29215786209324,0.0043543857,44.2,7.4,1.24425206650233
p0090,0.495,2.2777,2.7151434003399,0.3371871142,20.2,2,1.40662020657457
