genetree,Constrained_AU,absolute_delta,ABlength
M010R_b_0r,0.584,5.0299,1.085436635
M028R_b_0r,0.587,5.3823,0.4624612028
M029R_b_0r,0.498,0.68141,0.1161568539
M032R_x_0r,0.52,3.2925E-05,0.4945132141
M041R_b_0r,0.459,2.9146,2.33578761
M061R_b_0r,0.414,7.3578,1.406854684
M064R_b_0r,0.451,3.136,0.1755748776
M066R_x_0r,0.366,10.104,1.893621634
M071R_b_0r,0.484,0.92406,0.6386168575
M078R_b_0r,0.623,8.9154,0.7043358339
M138R_b_0r,0.508,0.00037782,0.1226932228
M142R_x_0r,0.5,4.3564E-05,0.3569063023
M143R_b_0r,0.432,4.5417,0.3388544663
M146R_b_0r,0.522,0.82116,0.1867410715
M149R_x_0r,0.509,0.58818,0.9338817228
M151R_b_0r,0.347,9.774,0.2820658379
M153R_b_0r,0.526,1.4466,0.8571001713
M156R_b_0r,0.479,1.0161,0.1708114335
M157R_b_0r,0.515,0.92462,0.2948627455
M158R_b_0r,0.589,11.104,0.5082801252
M161R_b_0r,0.507,0.00016626,0.0674703887
M165R_b_0r,0.455,1.7132,0.4869160115
M170R_b_0r,0.494,9.2416E-07,0.2919183997
M171R_b_0r,0.482,0.13094,0.0553238827
M175R_x_0r,0.514,5.0959E-05,0.909264644
M176R_b_0r,0.499,5.0812E-06,0.1626766253
M179R_b_0r,0.55,1.9462,0.1420166929
M195R_b_0r,0.49,0.051851,0.2647945464
M208R_x_0r,0.553,3.9668E-05,1.415802707
MA17R_b_0r,0.468,1.1401,1.997939719
MA19R_b_0r,0.564,2.8184,0.4625895168
MA23R_b_0r,0.514,0.48999,0.2650008118
MA32R_b_0r,0.507,5.0222E-06,0.2419165123
MA33R_b_0r,0.498,7.4259E-06,0.1389637291
MA42R_x_0r,0.501,0.00061239,0.2746438746
MA47R_b_0r,0.5,0.20455,2.242581479
MA53R_b_0r,0.405,4.7224,0.4847210135
