mscript1	dataset1	taxon1	mscript2	dataset2	taxon2	count
Borowiec2015	Best108	Acropora_digitifera	Borowiec2015	Best108	Acropora_digitifera	86
Borowiec2015	Best108	Acropora_digitifera	Borowiec2015	Total1080	Acropora_digitifera	86
Borowiec2015	Best108	Acropora_digitifera	Chang2015	Chang2015	Acropora_cervicornis	8
Borowiec2015	Best108	Acropora_digitifera	Chang2015	Chang2015	Orbicella_faveolata	3
Borowiec2015	Best108	Acropora_digitifera	Chang2015	Chang2015	Pocillopora_damicornis	1
Borowiec2015	Best108	Acropora_digitifera	Chang2015	Chang2015	Porites_australiensis	1
Borowiec2015	Best108	Acropora_digitifera	Dunn2008	Dunn2008	Acropora_millepora	3
Borowiec2015	Best108	Acropora_digitifera	Hejnol2009	Hejnol2009	Acropora_millepora	1
Borowiec2015	Best108	Acropora_digitifera	Moroz2014	ED3a	Acropora	1
Borowiec2015	Best108	Acropora_digitifera	Moroz2014	ED3d	Acropora_digitifera	1
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	nonribosomal_9187_smatrix	Acropora_hyacinthus	1
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	nonribosomal_9187_smatrix	Acropora_millepora	1
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	ribosomal_11057_smatrix	Acropora_hyacinthus	2
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	ribosomal_11057_smatrix	Acropora_millepora	2
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	ribosomal_14615_smatrix	Acropora_hyacinthus	2
Borowiec2015	Best108	Acropora_digitifera	Nosenko2013	ribosomal_14615_smatrix	Acropora_millepora	2
Borowiec2015	Best108	Acropora_digitifera	Philippe2009	Philippe2009	Acropora_millepora	1
Borowiec2015	Best108	Acropora_digitifera	Ryan2013	est.opisthokonta	Acropora_millepora	7
Borowiec2015	Best108	Acropora_digitifera	Ryan2013	est.opisthokonta	Acropora_palmata	5
Borowiec2015	Best108	Acropora_digitifera	Ryan2013	est.opisthokonta	Orbicella_faveolata	1
Borowiec2015	Best108	Acropora_digitifera	Simion2017	supermatrix_97sp_401632pos_1719genes	Orbicella_faveolata	2
Borowiec2015	Best108	Acropora_digitifera	Simion2017	supermatrix_97sp_401632pos_1719genes	Porites_australiensis	2
Borowiec2015	Best108	Acropora_digitifera	Whelan2017	Metazoa_Choano_RCFV_strict	Acropora_digitifera	2
Borowiec2015	Best108	Acropora_digitifera	Whelan2017	Metazoa_full	Acropora_digitifera	4
Borowiec2015	Best108	Acyrthosiphon_pisum	Borowiec2015	Best108	Acyrthosiphon_pisum	99
Borowiec2015	Best108	Acyrthosiphon_pisum	Borowiec2015	Total1080	Acyrthosiphon_pisum	99
Borowiec2015	Best108	Amphimedon_queenslandica	Borowiec2015	Best108	Amphimedon_queenslandica	95
Borowiec2015	Best108	Amphimedon_queenslandica	Borowiec2015	Total1080	Amphimedon_queenslandica	95
Borowiec2015	Best108	Amphimedon_queenslandica	Chang2015	Chang2015	Amphimedon_queenslandica	12
Borowiec2015	Best108	Amphimedon_queenslandica	Hejnol2009	Hejnol2009	Amphimedon_queenslandica	5
Borowiec2015	Best108	Amphimedon_queenslandica	Nosenko2013	ribosomal_11057_smatrix	Amphimedon_queenslandica	2
Borowiec2015	Best108	Amphimedon_queenslandica	Nosenko2013	ribosomal_14615_smatrix	Amphimedon_queenslandica	4
Borowiec2015	Best108	Amphimedon_queenslandica	Philippe2009	Philippe2009	Reniera_sp	9
Borowiec2015	Best108	Amphimedon_queenslandica	Ryan2013	est.opisthokonta	Amphimedon_queenslandica	13
Borowiec2015	Best108	Amphimedon_queenslandica	Ryan2013	genome.opisthokonta	Amphimedon_queenslandica	12
Borowiec2015	Best108	Amphimedon_queenslandica	Simion2017	supermatrix_97sp_401632pos_1719genes	Amphimedon_queenslandica	14
Borowiec2015	Best108	Amphimedon_queenslandica	Whelan2017	Metazoa_Choano_RCFV_strict	Amphimedon_queenslandica	2
Borowiec2015	Best108	Amphimedon_queenslandica	Whelan2017	Metazoa_full	Amphimedon_queenslandica	3
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Anolis_carolinensis	91
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Gallus_gallus	4
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Gasterosteus_aculeatus	4
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Homo_sapiens	7
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Latimeria_chalumnae	7
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Takifugu	3
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Best108	Xenopus_tropicalis	5
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Anolis_carolinensis	91
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Gallus_gallus	4
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Gasterosteus_aculeatus	4
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Homo_sapiens	7
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Latimeria_chalumnae	7
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Takifugu	3
Borowiec2015	Best108	Anolis_carolinensis	Borowiec2015	Total1080	Xenopus_tropicalis	5
Borowiec2015	Best108	Anolis_carolinensis	Chang2015	Chang2015	Homo_sapiens	1
Borowiec2015	Best108	Anolis_carolinensis	Chang2015	Chang2015	Latimeria_menadoensis	1
Borowiec2015	Best108	Anolis_carolinensis	Dunn2008	Dunn2008	Gallus_gallus	3
Borowiec2015	Best108	Anolis_carolinensis	Dunn2008	Dunn2008	Homo_sapiens	3
Borowiec2015	Best108	Anolis_carolinensis	Hejnol2009	Hejnol2009	Gallus_gallus	2
Borowiec2015	Best108	Anolis_carolinensis	Hejnol2009	Hejnol2009	Homo_sapiens	1
Borowiec2015	Best108	Anolis_carolinensis	Ryan2013	est.opisthokonta	Gallus_gallus	1
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Best108	Apis_mellifera	97
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Best108	Bombus_terrestris	28
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Best108	Danaus_plexippus	1
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Best108	Rhodnius_prolixus	1
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Best108	Tribolium_castaneum	2
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Total1080	Apis_mellifera	97
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Total1080	Bombus_terrestris	28
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Total1080	Danaus_plexippus	1
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Total1080	Rhodnius_prolixus	1
Borowiec2015	Best108	Apis_mellifera	Borowiec2015	Total1080	Tribolium_castaneum	2
Borowiec2015	Best108	Apis_mellifera	Chang2015	Chang2015	Nasonia_vitripennis	2
Borowiec2015	Best108	Apis_mellifera	Nosenko2013	ribosomal_11057_smatrix	Nasonia_vitripennis	1
Borowiec2015	Best108	Apis_mellifera	Philippe2009	Philippe2009	Nasonia_vitripennis	1
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Best108	Apis_mellifera	27
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Best108	Bombus_terrestris	90
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Best108	Tribolium_castaneum	1
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Total1080	Apis_mellifera	27
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Total1080	Bombus_terrestris	90
Borowiec2015	Best108	Bombus_terrestris	Borowiec2015	Total1080	Tribolium_castaneum	1
Borowiec2015	Best108	Branchiostoma_floridae	Borowiec2015	Best108	Branchiostoma_floridae	98
Borowiec2015	Best108	Branchiostoma_floridae	Borowiec2015	Total1080	Branchiostoma_floridae	98
Borowiec2015	Best108	Branchiostoma_floridae	Chang2015	Chang2015	Branchiostoma_floridae	10
Borowiec2015	Best108	Branchiostoma_floridae	Dunn2008	Dunn2008	Branchiostoma_floridae	6
Borowiec2015	Best108	Branchiostoma_floridae	Hejnol2009	Hejnol2009	Branchiostoma_floridae	16
Borowiec2015	Best108	Branchiostoma_floridae	Moroz2014	ED3a	Branchiostoma	2
Borowiec2015	Best108	Branchiostoma_floridae	Moroz2014	ED3d	Branchiostoma_floridae	1
Borowiec2015	Best108	Branchiostoma_floridae	Nosenko2013	ribosomal_11057_smatrix	Branchiostoma_floridae	1
Borowiec2015	Best108	Branchiostoma_floridae	Nosenko2013	ribosomal_14615_smatrix	Branchiostoma_floridae	2
Borowiec2015	Best108	Branchiostoma_floridae	Philippe2009	Philippe2009	Branchiostoma_floridae	3
Borowiec2015	Best108	Branchiostoma_floridae	Ryan2013	est.opisthokonta	Branchiostoma_floridae	7
Borowiec2015	Best108	Branchiostoma_floridae	Ryan2013	genome.opisthokonta	Branchiostoma_floridae	4
Borowiec2015	Best108	Branchiostoma_floridae	Simion2017	supermatrix_97sp_401632pos_1719genes	Branchiostoma_floridae	15
Borowiec2015	Best108	Brugia_malayi	Borowiec2015	Best108	Brugia_malayi	88
Borowiec2015	Best108	Brugia_malayi	Borowiec2015	Total1080	Brugia_malayi	88
Borowiec2015	Best108	Caenorhabditis_elegans	Borowiec2015	Best108	Caenorhabditis_elegans	96
Borowiec2015	Best108	Caenorhabditis_elegans	Borowiec2015	Total1080	Caenorhabditis_elegans	96
Borowiec2015	Best108	Caenorhabditis_elegans	Moroz2014	ED3a	Caenorhabditis	3
Borowiec2015	Best108	Caenorhabditis_elegans	Ryan2013	genome.opisthokonta	Caenorhabditis_elegans	11
Borowiec2015	Best108	Capitella_telata	Borowiec2015	Best108	Capitella_telata	97
Borowiec2015	Best108	Capitella_telata	Borowiec2015	Total1080	Capitella_telata	97
Borowiec2015	Best108	Capitella_telata	Chang2015	Chang2015	Capitella_teleta	11
Borowiec2015	Best108	Capitella_telata	Dunn2008	Dunn2008	Capitella_teleta	7
Borowiec2015	Best108	Capitella_telata	Hejnol2009	Hejnol2009	Capitella_teleta	16
Borowiec2015	Best108	Capitella_telata	Moroz2014	ED3a	Capitella	2
Borowiec2015	Best108	Capitella_telata	Moroz2014	ED3d	Capitella_teleta	1
Borowiec2015	Best108	Capitella_telata	Nosenko2013	ribosomal_11057_smatrix	Capitella_sp	2
Borowiec2015	Best108	Capitella_telata	Nosenko2013	ribosomal_14615_smatrix	Capitella_sp	4
Borowiec2015	Best108	Capitella_telata	Philippe2009	Philippe2009	Capitella_sp	5
Borowiec2015	Best108	Capitella_telata	Ryan2013	est.opisthokonta	Capitella_teleta	11
Borowiec2015	Best108	Capitella_telata	Ryan2013	genome.opisthokonta	Capitella_teleta	12
Borowiec2015	Best108	Capitella_telata	Simion2017	supermatrix_97sp_401632pos_1719genes	Capitella_teleta	15
Borowiec2015	Best108	Capitella_telata	Whelan2017	Metazoa_Choano_RCFV_strict	Capitella_teleta	2
Borowiec2015	Best108	Capitella_telata	Whelan2017	Metazoa_full	Capitella_teleta	3
Borowiec2015	Best108	Ciona_savignyi	Borowiec2015	Best108	Ciona_savignyi	85
Borowiec2015	Best108	Ciona_savignyi	Borowiec2015	Total1080	Ciona_savignyi	85
Borowiec2015	Best108	Ciona_savignyi	Chang2015	Chang2015	Ciona_intestinalis	1
