gene_category	matrix	number_of_genes
non_busco	Borowiec2015_Best108	59
non_busco	Borowiec2015_Total1080	701
non_busco	Chang2015	107
non_busco	Dunn2008	94
non_busco	Hejnol2009	1226
non_busco	Moroz2014_3d	105
non_busco	Nosenko2013_nonribo_9187	32
non_busco	Nosenko2013_ribo_11057	55
non_busco	Nosenko2013_ribo_14615	57
non_busco	Philippe2009	92
non_busco	Ryan2013_est	291
non_busco	Simion2017	1576
non_busco	Whelan2015_D1	218
non_busco	Whelan2015_D10	179
non_busco	Whelan2015_D20	150
non_busco	Whelan2017_full	159
non_busco	Whelan2017_strict	47
busco	Borowiec2015_Best108	49
busco	Borowiec2015_Total1080	379
busco	Chang2015	63
busco	Dunn2008	56
busco	Hejnol2009	261
busco	Moroz2014_3d	9
busco	Nosenko2013_nonribo_9187	3
busco	Nosenko2013_ribo_11057	23
busco	Nosenko2013_ribo_14615	30
busco	Philippe2009	37
busco	Ryan2013_est	115
busco	Simion2017	143
busco	Whelan2015_D1	33
busco	Whelan2015_D10	31
busco	Whelan2015_D20	28
busco	Whelan2017_full	53
busco	Whelan2017_strict	12
