study	original_name	new_name
Chang2015	Acanthoeca_like_sp_10tr	Acanthoeca_sp
Simion2017	Acanthoeca_sp._10tr	Acanthoeca_sp
Simion2017	Acanthoeca_spectabilis_VA_02	Acanthoeca_spectabilis
Borowiec2015	Acropora	Acropora_digitifera
Moroz2014	ADIG	Acropora_digitifera
Nosenko2013	Acropor_hy	Acropora_hyacinthus
Nosenko2013	Acropor_mi	Acropora_millepora
Nosenko2013	Acropor_pa	Acropora_palmata
Borowiec2015	Acyrthosiphon	Acyrthosiphon_pisum
Simion2017	Agalma_ele	Agalma_elegans
Moroz2014	AIPT	Aiptasia_pallida
Simion2017	Aiptasia_p	Aiptasia_pallida
Nosenko2013	Allomyc_ma	Allomyces_macrogynus
Chang2015	Amoebidium_parasiticum_JAP-7-2	Amoebidium_parasiticum
Moroz2014	Amoebidium	Amoebidium_parasiticum
Nosenko2013	Amoebid_pa	Amoebidium_parasiticum
Simion2017	Amoebidium_parasiticum_JAP72	Amoebidium_parasiticum
Borowiec2015	Amphimedon	Amphimedon_queenslandica
Moroz2014	AQUE	Amphimedon_queenslandica
Nosenko2013	Amphime_qu	Amphimedon_queenslandica
Philippe2009	Reniera_sp.____________________________________________________________________	Amphimedon_queenslandica
Moroz2014	Anemonia	Anemonia_viridis
Moroz2014	AVIR	Anemonia_viridis
Borowiec2015	Anolis	Anolis_carolinensis
Nosenko2013	Anoplod_er	Anoplodactylus_eroticus
Moroz2014	Aphrocallistes	Aphrocallistes_vastus
Moroz2014	AVAS	Aphrocallistes_vastus
Nosenko2013	Aphroca_va	Aphrocallistes_vastus
Simion2017	Aphrocalli	Aphrocallistes_vastus
Borowiec2015	Apis	Apis_mellifera
Moroz2014	ACAL	Aplysia_californica
Moroz2014	Aplysia	Aplysia_californica
Nosenko2013	Aplysia_ca	Aplysia_californica
Nosenko2013	Asbesto_sp	Asbestopluma_sp
Simion2017	Aspergillu	Aspergillus
Nosenko2013	Astrosc_wi	Astrosclera_willeyana
Simion2017	Aurelia_au	Aurelia_aurita
Nosenko2013	Batrach_de	Batrachochytrium_dendrobatidis
Moroz2014	BCUC	Beroe_abyssicola
Simion2017	Beroe_abys	Beroe_abyssicola
Nosenko2013	Beroe_sp__	Beroe_sp
Moroz2014	Blastocladiella	Blastocladiella_emersonii
Moroz2014	BINF	Bolinopsis_infundibulum
Simion2017	Bolocera_t	Bolocera_tuedia
Simion2017	Bolocera_tuedia	Bolocera_tuediae
Borowiec2015	Bombus	Bombus_terrestris
Borowiec2015	Branchiostoma	Branchiostoma_floridae
Moroz2014	BFLO	Branchiostoma_floridae
Nosenko2013	Branchi_fl	Branchiostoma_floridae
Borowiec2015	Brugia	Brugia_malayi
Borowiec2015	Caenorhabditis	Caenorhabditis_elegans
Borowiec2015	Capitella	Capitella_teleta
Dunn2008	Capitella_sp	Capitella_teleta
Hejnol2009	Capitella_sp	Capitella_teleta
Moroz2014	CTEL	Capitella_teleta
Nosenko2013	Capitel_sp	Capitella_teleta
Philippe2009	Capitella_sp__i_ecs-2004_______________________________________________________	Capitella_teleta
Ryan2013	Capitella_telata	Capitella_teleta
Chang2015	Capsaspora_owczarzaki_atcc30864	Capsaspora_owczarzaki
Moroz2014	Capsaspora	Capsaspora_owczarzaki
Nosenko2013	Capsasp_ow	Capsaspora_owczarzaki
Ryan2013	Capsaspora_owczarzaki_ATCC_30864	Capsaspora_owczarzaki
Simion2017	Capsaspora_owczarzaki_atcc30864	Capsaspora_owczarzaki
Moroz2014	Carteriospongia	Carteriospongia_foliascens
Moroz2014	CFOL	Carteriospongia_foliascens
Nosenko2013	Carteri_fo	Carteriospongia_foliascens
Hejnol2009	Chaetopterus	Chaetopterus_variopedatus
Moroz2014	CINT	Ciona_intestinalis
Nosenko2013	Ciona_inte	Ciona_intestinalis
Borowiec2015	Ciona	Ciona_savignyi
Moroz2014	CHEM	Clytia_hemisphaerica
Moroz2014	Clytia	Clytia_hemisphaerica
Nosenko2013	Clytia_hem	Clytia_hemisphaerica
Moroz2014	COEL	Coeloplana_astericola
Simion2017	Craseoa_la	Craseoa_lathetica
Whelan2017	Craseo_lathetica	Craseoa_lathetica
Chang2015	Craspedacusta_sowerbyi	Craspedacusta_sowerbii
Simion2017	Craspedacusta_sowerbyi	Craspedacusta_sowerbii
Moroz2014	CGIG	Crassostrea_gigas
Nosenko2013	Crassos_gi	Crassostrea_gigas
Nosenko2013	Cratero_me	Crateromorpha_meyeri
Nosenko2013	Cyanea_cap	Cyanea_capillata
Borowiec2015	Danaus	Danaus_plexippus
Nosenko2013	Danio_reri	Danio_rerio
Simion2017	Danio_reri	Danio_rerio
Borowiec2015	Daphnia	Daphnia_magna
Moroz2014	DPUL	Daphnia_pulex
Nosenko2013	Daphnia_pu	Daphnia_pulex
Simion2017	Daphnia_pu	Daphnia_pulex
Simion2017	Diaphanoeca_grandis_RI_01	Diaphanoeca_grandis
Borowiec2015	Drosophila	Drosophila_melanogaster
