paths	manuscript	matrix	construction_method	notes
../matrices/Dunn2008_Dunn2008.nex	Dunn2008	Dunn2008		
../matrices/Philippe2009_Philippe2009.nex	Philippe2009	Philippe2009		
../matrices/Hejnol2009_Hejnol2009.nex	Hejnol2009	Hejnol2009		
../matrices/Nosenko2013_nonribosomal_9187_smatrix.nex	Nosenko2013	Nosenko2013_nonribo_9187		
../matrices/Nosenko2013_ribosomal_11057_smatrix.nex	Nosenko2013	Nosenko2013_ribo_11057		
../matrices/Nosenko2013_ribosomal_14615_smatrix.nex	Nosenko2013	Nosenko2013_ribo_14615		
../matrices/Ryan2013_est.opisthokonta.nex	Ryan2013	Ryan2013_est		
../matrices/Ryan2013_genome.opisthokonta.nex	Ryan2013	Ryan2013_genome		
../matrices/Moroz2014_ED3d.nex	Moroz2014	Moroz2014_3d		
../matrices/Whelan2015_Dataset1_FullData.nex	Whelan2015	Whelan2015_D1		
NA	Whelan2015	Whelan2015_D6		
../matrices/Whelan2015_Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned.nex	Whelan2015	Whelan2015_D10		
../matrices/Whelan2015_Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa.nex	Whelan2015	Whelan2015_D20		
NA	Whelan2015	Whelan2015_Philippe2009_no_ribo		Ribosomal genes were removed
../matrices/Borowiec2015_Best108.nex	Borowiec2015	Borowiec2015_Best108		
../matrices/Borowiec2015_Total1080.nex	Borowiec2015	Borowiec2015_Total1080		
../matrices/Chang2015_Chang2015.nex	Chang2015	Chang2015		
NA	Pisani2015	Pisani2015_Ryan2013_est_no_Xenoturbella		 Xenoturbella was removed
NA	Pisani2015	Pisani2015_Moroz2014_3d_no_Xenoturbella		 Xenoturbella was removed
../matrices/Simion2017_supermatrix_97sp_401632pos_1719genes.nex	Simion2017	Simion2017		
../matrices/Whelan2017_Metazoa_full.nex	Whelan2017b	Whelan2017b_full		
../matrices/Whelan2017_Metazoa_Choano_RCFV_strict.nex	Whelan2017b	Whelan2017b_strict		
