manuscript	doi	citation	new_data	new_analyses	Main conclusion
Dunn2008	10.1038/nature06614		TRUE	TRUE	Ctenophora-sister
Philippe2009	10.1016/j.cub.2009.02.052		TRUE	TRUE	Porifera-sister
Hejnol2009	10.1098/rspb.2009.0896		TRUE	TRUE	Ctenophora-sister
Nosenko2013	10.1016/j.ympev.2013.01.010		TRUE	TRUE	Porifera-sister
Ryan2013	10.1126/science.1242592		TRUE	TRUE	Ctenophora-sister
Moroz2014	10.1038/nature13400		TRUE	TRUE	Ctenophora-sister
Whelan2015	10.1073/pnas.1503453112		TRUE	TRUE	Ctenophora-sister
Borowiec2015	10.1186/s12864-015-2146-4		TRUE	TRUE	Ctenophora-sister
Chang2015	10.1073/pnas.1511468112		TRUE	TRUE	Ctenophora-sister
Pisani2015	10.1073/pnas.1518127112		FALSE	TRUE	Porifera-sister
Whelan2017	10.1093/sysbio/syw084		FALSE	TRUE	Ctenophora-sister
Simion2017	10.1016/j.cub.2017.02.031		TRUE	TRUE	Porifera-sister
Shen2017	10.1038/s41559-017-0126		FALSE	TRUE	Ctenophora-sister
King2017	10.1016/j.cub.2017.08.054		FALSE	FALSE	NA
Whelan2017	10.1038/s41559-017-0331-3		TRUE	TRUE	Ctenophora-sister
Feuda2017	10.1016/j.cub.2017.11.008		FALSE	TRUE	Porifera-sister
