Matrix	Model	Ctenophora-sister	Porifera-sister
Philippe2009_only_choanozoa	Poisson_CAT120	1	0
Philippe2009_only_choanozoa	Poisson_CAT150	0.541062802	0.458937198
Philippe2009_only_choanozoa	Poisson_CAT180	0.188034188	0.811965812
Philippe2009_only_choanozoa	Poisson_CAT60	1	0
Philippe2009_only_choanozoa	Poisson_CAT90	0.840659341	0.159340659
Philippe2009_only_Holozoa	Poisson_CAT360	0.524590164	0.469945355
Philippe2009_only_Holozoa	Poisson_CAT400	0.489361702	0.510638298
Philippe2009_only_Holozoa	Poisson_CAT440	0.335877863	0.641221374
Philippe2009_only_Holozoa	Poisson_CAT480	0.070512821	0.897435897
Whelan2017_full_only_choanozoa	Poisson_CAT340	0.582733813	0.417266187
Whelan2017_full_only_choanozoa	Poisson_CAT380	0.47972973	0.513513514
Whelan2017_full_only_choanozoa	Poisson_CAT420	0.548611111	0.4375
Whelan2017_full_only_choanozoa	Poisson_CAT460	0.129310345	0.870689655
Whelan2017_full_only_choanozoa	Poisson_CAT60	1	0
Whelan2017_strict	Poisson_CAT110	0.106060606	0.893939394
Whelan2017_strict	Poisson_CAT120	0.080808081	0.919191919
Whelan2017_strict	Poisson_CAT150	0.032258065	0.967741935
Whelan2017_strict	Poisson_CAT180	0.050420168	0.949579832
Whelan2017_strict	Poisson_CAT360	0.006756757	0.966216216
Whelan2017_strict	Poisson_CAT60	1	0
Whelan2017_strict	Poisson_CAT70	1	0
Whelan2017_strict	Poisson_CAT80	1	0
Whelan2017_strict	Poisson_CAT90	0.31	0.69
Whelan2017_strict	Poisson_CAT100	0.12	0.88
