Study	Matrix	Clade	Number of gene partitions	Number of sites	Number of taxa	Infered sister lineage	Journal	Citations
Dunn2008	Dunn2008	Opisthokonta	150	"21,152"	64	Ctenophora-sister	Nature	
Philippe2009	Philippe2009	Opisthokonta	129	"30,257"	55	Porifera-sister	Current Biology	
Hejnol2009	Hejnol2009	Opisthokonta	1487	"270,580"	94	Ctenophora-sister	Proc. Biol. Sci.	
	Hejnol2009_subsampled	Opisthokonta	844	"55,594"	94	Ctenophora-sister		
Nosenko2013	Nosenko2013_nonribo_9187	Opisthokonta	35	"9,187"	63	Ctenophora-sister	Molecular Phylogenetics and Evolution	
Nosenko2013	Nosenko2013_ribo_14615	Opisthokonta	87	"14,615"	71	Porifera-sister		
Ryan2013	Ryan2013_est	Opisthokonta	406	"88,384"	61	Ctenophora-sister	Science	
Moroz2014	Moroz2014_3d	Opisthokonta	114	"22,772"	46	Ctenophora-sister	Nature	
Whelan2015	Whelan2015_D1	Opisthokonta	251	"59,733"	76	Ctenophora-sister	PNAS	
Whelan2015	Whelan2015_D10	Opisthokonta	210	"59,733"	70	Ctenophora-sister		
Whelan2015	Whelan2015_D20	Opisthokonta	178	"81,008"	65	Ctenophora-sister		
Borowiec2015	Borowiec2015_Best108	Choaimalia	108	"41,808"	36	Ctenophora-sister	BMC Genomics	
Borowiec2015	Borowiec2015_Total1080	Choaimalia	1080	"384,981"	36	Ctenophora-sister		
Pisani2015	Ryan2013_est	Opisthokonta	406	"88,384"	60	Porifera-sister	PNAS	
	Whelan_D6	Opisthokonta	115	"33,403"	70	Porifera-sister		
Chang2015	Chang2015	Opisthokonta	170	"51,940"	77	Ctenophora-sister	PNAS	
Simion2017	Simion2017	Opisthokonta	1719	"401,632"	97	Porifera-sister	Current Biology	
	Simion2017_subsampled	Opisthokonta	1719	"110,602"	97	Porifera-sister		
Feuda2017	Chang2015	Opisthokonta	170	"51,940"	77	Ctenophora-sister	Current Biology	
	WhelanD20	Opisthokonta	178	"81,008"	65	Porifera-sister		
Whelan2017	Whelan2017b_full	Holozoa	212	"68,062"	80	Ctenophora-sister	Nature Ecology and Evolution	
Whelan2017	Whelan2017b_strict	Choaimalia	59	"49,388"	76	Ctenophora-sister		
