ncbi_tax_id	 Bilateria
34765	 Bilateria
7460	 Bilateria
7070	 Bilateria
32264	 Bilateria
7029	 Bilateria
13037	 Bilateria
6239	 Bilateria
7227	 Bilateria
6945	 Bilateria
8364	 Bilateria
31032	 Bilateria
69293	 Bilateria
9606	 Bilateria
7897	 Bilateria
9031	 Bilateria
28377	 Bilateria
51511	 Bilateria
126957	 Bilateria
35525	 Bilateria
7668	 Bilateria
283909	 Bilateria
10224	 Bilateria
225164	 Bilateria
7739	 Bilateria
50426	 Bilateria
6279	 Bilateria
13249	 Bilateria
30195	 Bilateria
51511	 Bilateria
7739	 Bilateria
9606	 Bilateria
31032	 Bilateria
69293	 Bilateria
28377	 Bilateria
9031	 Bilateria
7897	 Bilateria
7668	 Bilateria
13037	 Bilateria
32264	 Bilateria
6945	 Bilateria
7029	 Bilateria
225164	 Bilateria
13249	 Bilateria
7227	 Bilateria
7070	 Bilateria
7460	 Bilateria
30195	 Bilateria
283909	 Bilateria
126957	 Bilateria
6279	 Bilateria
6239	 Bilateria
35525	 Bilateria
8364	 Bilateria
50426	 Bilateria
10224	 Bilateria
34765	 Bilateria
30301	 Bilateria
7739	 Bilateria
283909	 Bilateria
7719	 Bilateria
29159	 Bilateria
6669	 Bilateria
6412	 Bilateria
9606	 Bilateria
1934733	 Bilateria
6945	 Bilateria
106881	 Bilateria
7425	 Bilateria
6645	 Bilateria
46514	 Bilateria
121225	 Bilateria
7757	 Bilateria
10224	 Bilateria
126957	 Bilateria
7668	 Bilateria
115339	 Bilateria
488521	 Bilateria
6500	 Bilateria
31199	 Bilateria
7594	 Bilateria
6526	 Bilateria
6941	 Bilateria
7739	 Bilateria
283909	 Bilateria
6848	 Bilateria
6759	 Bilateria
187807	 Bilateria
6221	 Bilateria
256131	 Bilateria
58794	 Bilateria
34590	 Bilateria
7719	 Bilateria
6565	 Bilateria
35525	 Bilateria
7227	 Bilateria
6161	 Bilateria
6210	 Bilateria
488522	 Bilateria
488523	 Bilateria
6613	 Bilateria
139456	 Bilateria
9031	 Bilateria
279730	 Bilateria
9606	 Bilateria
232323	 Bilateria
35632	 Bilateria
282301	 Bilateria
29158	 Bilateria
1468194	 Bilateria
672013	 Bilateria
6359	 Bilateria
37621	 Bilateria
63121	 Bilateria
245088	 Bilateria
10224	 Bilateria
79327	 Bilateria
29022	 Bilateria
190581	 Bilateria
7668	 Bilateria
34513	 Bilateria
216211	 Bilateria
6334	 Bilateria
6431	 Bilateria
242395	 Bilateria
46003	 Bilateria
115339	 Bilateria
488521	 Bilateria
6500	 Bilateria
31199	 Bilateria
7594	 Bilateria
6526	 Bilateria
6941	 Bilateria
10195	 Bilateria
7739	 Bilateria
10212	 Bilateria
283909	 Bilateria
6848	 Bilateria
6759	 Bilateria
187807	 Bilateria
6221	 Bilateria
256131	 Bilateria
58794	 Bilateria
6379	 Bilateria
7719	 Bilateria
52062	 Bilateria
536236	 Bilateria
6565	 Bilateria
67896	 Bilateria
6669	 Bilateria
168635	 Bilateria
7227	 Bilateria
6161	 Bilateria
6210	 Bilateria
488522	 Bilateria
172519	 Bilateria
488523	 Bilateria
6613	 Bilateria
139456	 Bilateria
366393	 Bilateria
9031	 Bilateria
338297	 Bilateria
279730	 Bilateria
7729	 Bilateria
6412	 Bilateria
9606	 Bilateria
232323	 Bilateria
225164	 Bilateria
35632	 Bilateria
282301	 Bilateria
84115	 Bilateria
29158	 Bilateria
447489	 Bilateria
172109	 Bilateria
66402	 Bilateria
1071257	 Bilateria
1468194	 Bilateria
43123	 Bilateria
43122	 Bilateria
96448	 Bilateria
672013	 Bilateria
6359	 Bilateria
37621	 Bilateria
63121	 Bilateria
245088	 Bilateria
10224	 Bilateria
79327	 Bilateria
29022	 Bilateria
52888	 Bilateria
190581	 Bilateria
7668	 Bilateria
69817	 Bilateria
84072	 Bilateria
6204	 Bilateria
34513	 Bilateria
216211	 Bilateria
6334	 Bilateria
488524	 Bilateria
6431	 Bilateria
242395	 Bilateria
46003	 Bilateria
29159	 Bilateria
225164	 Bilateria
283909	 Bilateria
7227	 Bilateria
6945	 Bilateria
7739	 Bilateria
6669	 Bilateria
9606	 Bilateria
7668	 Bilateria
6500	 Bilateria
7719	 Bilateria
10224	 Bilateria
488521	 Bilateria
6500	 Bilateria
7739	 Bilateria
283909	 Bilateria
7719	 Bilateria
29159	 Bilateria
7955	 Bilateria
6669	 Bilateria
6613	 Bilateria
6412	 Bilateria
6945	 Bilateria
30286	 Bilateria
7425	 Bilateria
43123	 Bilateria
121226	 Bilateria
7757	 Bilateria
10224	 Bilateria
29022	 Bilateria
7668	 Bilateria
6386	 Bilateria
242395	 Bilateria
7739	 Bilateria
283909	 Bilateria
7719	 Bilateria
7955	 Bilateria
30286	 Bilateria
7757	 Bilateria
10224	 Bilateria
6500	 Bilateria
29159	 Bilateria
6669	 Bilateria
6412	 Bilateria
6945	 Bilateria
7425	 Bilateria
6386	 Bilateria
488521	 Bilateria
6500	 Bilateria
7739	 Bilateria
283909	 Bilateria
7719	 Bilateria
