C60 Categories,Category frequencies,Matrix,Warning from IQ-TREE
1,0.009,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
2,0.026,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
3,0.036,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
4,0.025,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
5,0.01,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
6,0.013,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
7,0.008,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
8,0.011,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
9,0.011,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
10,0.001,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
11,0.01,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
12,0.039,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
13,0.008,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
14,0.014,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
15,0.013,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
16,0,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
17,0.009,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
18,0.007,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
19,0.036,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
20,0.026,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
21,0.018,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
22,0.005,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
23,0.012,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
24,0.015,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
25,0.017,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
26,0.023,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
27,0.007,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
28,0.036,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
29,0.021,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
30,0.018,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
31,0.018,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
32,0.02,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
33,0.013,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
34,0.006,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
35,0.053,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
36,0.034,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
37,0.03,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
38,0.021,Borowiec2015_Best108,The mixture model might be overfitting because some mixture weights are estimated close to zero
