study	original_name	new_name
Moroz_2014	ACAL	Aplysia_californica
Chang2015	Acanthoeca_like_sp_10tr	Acanthoeca
Nosenko2013	Acropor_hy	Acropora_hyacinthus
Nosenko2013	Acropor_mi	Acropora_millepora
Nosenko2013	Acropor_pa	Acropora_palmate
Borowiec2015	Acropora	Acropora_digitifera
Borowiec2015	Acyrthosiphon	Acyrthosiphon_pisum
Simion2017	Agalma_ele	Agalma_elegans
Moroz_2014	AIPT	Aiptasia
Simion2017	Aiptasia_p	Aiptasia_pallida
Nosenko2013	Allomyc_ma	Allomyces_macrogynus
Nosenko2013	Amoebid_pa	Amoebidium_parasiticum
Nosenko2013	Amphime_qu	Amphimedon_queenslandica
Borowiec2015	Amphimedon	Amphimedon_queenslandica
Borowiec2015	Anolis	Anolis_carolinensis
Nosenko2013	Anoplod_er	Anoplodactylus_eroticus
Nosenko2013	Aphroca_va	Aphrocallistes_vastus
Simion2017	Aphrocalli	Aphrocallistes_vastus
Borowiec2015	Apis	Apis_mellifera
Nosenko2013	Aplysia_ca	Aplysia_californica
Moroz_2014	AQUE	Amphimedon_queenslandica
Nosenko2013	Asbesto_sp	Asbestopluma_sp
Simion2017	Aspergillu	Aspergillus
Nosenko2013	Astrosc_wi	Astrosclera_willeyana
Simion2017	Aurelia_au	Aurelia_aurita
Moroz_2014	AVAS	Aphrocallistes_vastus
Moroz_2014	AVIR	Anemonia_viridis
Nosenko2013	Batrach_de	Batrachochytrium_dendrobatidis
Simion2017	Beroe_abys	Beroe_abyssicola
Nosenko2013	Beroe_sp__	Beroe_sp
Moroz_2014	BFLO	Branchiostoma_floridae
Simion2017	Bolocera_t	Bolocera_tuedia
Borowiec2015	Bombus	Bombus_terrestris
Nosenko2013	Branchi_fl	Branchiostoma_floridae
Borowiec2015	Branchiostoma	Branchiostoma_floridae
Borowiec2015	Brugia	Brugia_malayi
Borowiec2015	Caenorhabditis	Caenorhabditis_elegans
Nosenko2013	Capitel_sp	Capitella_sp.
Borowiec2015	Capitella	Capitella_telata
Dunn2008	Capitella_sp	Capitella_teleta
Hejnol2009	Capitella_sp	Capitella_teleta
Nosenko2013	Capsasp_ow	Capsaspora_owczarzaki
Chang2015	Capsaspora_owczarzaki_atcc30864	Capsaspora_owczarzaki
Nosenko2013	Carteri_fo	Carteriospongia_foliascens
Moroz_2014	CFOL	Carteriospongia_foliascens
Moroz_2014	CHEM	Clytia_hemisphaerica
Moroz_2014	CINT	Ciona_intestinalis
Borowiec2015	Ciona	Ciona_savignyi
Nosenko2013	Ciona_inte	Ciona_intestinalis
Nosenko2013	Clytia_hem	Clytia_hemisphaerica
Simion2017	Craseoa_la	Craseoa_lathetica
Nosenko2013	Crassos_gi	Crassostrea_gigas
