original_matrix	matrix_name	ncbi_tax_id	ncbi_taxonomy	relabelled_name	clade_assignment
../considered_data/Philippe2009/Philippe2009.nex	Acropora_millepora_____________________________________________________________	45264	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Hexacorallia; Scleractinia; Astrocoeniina; Acroporidae; Acropora		Acropora_millepora_____________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Allomyces_macrogynus___________________________________________________________	28583	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Blastocladiomycota; Blastocladiomycetes; Blastocladiales; Blastocladiaceae; Allomyces		Allomyces_macrogynus___________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Amoebidium_parasiticum_________________________________________________________	4881	cellular organisms; Eukaryota; Opisthokonta; Opisthokonta incertae sedis; Ichthyosporea; Ichthyophonida; Amoebidiaceae; Amoebidium		Amoebidium_parasiticum_________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Anoplodactylus_eroticus________________________________________________________	488521	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Phoxichilidiidae; Anoplodactylus		Anoplodactylus_eroticus________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Aplysia_californica____________________________________________________________	6500	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Euopisthobranchia; Aplysiida; Aplysioidea; Aplysiidae; Aplysia		Aplysia_californica____________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Batrachochytrium_dendrobatidis_________________________________________________	109871	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycetes; Rhizophydiales; Rhizophydiales incertae sedis; Batrachochytrium		Batrachochytrium_dendrobatidis_________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Branchiostoma_floridae_________________________________________________________	7739	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Cephalochordata; Branchiostomidae; Branchiostoma		Branchiostoma_floridae_________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Capitella_sp__i_ecs-2004_______________________________________________________	283909	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Lophotrochozoa; Annelida; Polychaeta; Scolecida; Capitellida; Capitellidae; Capitella		Capitella_sp__i_ecs-2004_______________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Capsaspora_owczarzaki__________________________________________________________	192875	cellular organisms; Eukaryota; Opisthokonta; Opisthokonta incertae sedis; Ichthyosporea; Capsaspora		Capsaspora_owczarzaki__________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Carteriospongia_foliascens_____________________________________________________	593584	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Porifera; Demospongiae; Keratosa; Dictyoceratida; Thorectidae; Carteriospongia		Carteriospongia_foliascens_____________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Ciona_savignyi_________________________________________________________________	51511	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Ascidiacea; Enterogona; Phlebobranchia; Cionidae; Ciona		Ciona_savignyi_________________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Clytia_hemisphaerica___________________________________________________________	252671	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Hydrozoa; Hydroidolina; Leptothecata; Campanulariidae; Clytia		Clytia_hemisphaerica___________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Crassostrea_gigas______________________________________________________________	29159	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Lophotrochozoa; Mollusca; Bivalvia; Pteriomorphia; Ostreoida; Ostreoidea; Ostreidae; Crassostrea		Crassostrea_gigas______________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Cyanea_capillata_______________________________________________________________	27804	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Scyphozoa; Semaeostomeae; Cyaneidae; Cyanea		Cyanea_capillata_______________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Danio_rerio____________________________________________________________________	7955	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Otomorpha; Ostariophysi; Otophysi; Cypriniphysae; Cypriniformes; Cyprinoidea; Cyprinidae; Danio		Danio_rerio____________________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Daphnia_pulex__________________________________________________________________	6669	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Branchiopoda; Phyllopoda; Diplostraca; Cladocera; Anomopoda; Daphniidae; Daphnia		Daphnia_pulex__________________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Ephydatia_muelleri_____________________________________________________________	6052	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Spongillida; Spongillidae; Ephydatia		Ephydatia_muelleri_____________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Euperipatoides_kanangrensis____________________________________________________	488523	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Onychophora; Udeonychophora; Euonychophora; Peripatopsidae; Euperipatoides		Euperipatoides_kanangrensis____________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Euprymna_scolopes______________________________________________________________	6613	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Lophotrochozoa; Mollusca; Cephalopoda; Coleoidea; Neocoleoidea; Decapodiformes; Sepiolida; Sepiolidae; Sepiolinae; Euprymna		Euprymna_scolopes______________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Helobdella_robusta_____________________________________________________________	6412	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Lophotrochozoa; Annelida; Clitellata; Hirudinea; Hirudinida; Glossiphoniiformes; Glossiphoniidae; Helobdella		Helobdella_robusta_____________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Heterochone_sp.________________________________________________________________	nan	na		Heterochone_sp.________________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Hydra_magnipapillata___________________________________________________________	6087	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Aplanulata; Hydridae; Hydra		Hydra_magnipapillata___________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Hydractinia_echinata___________________________________________________________	35630	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Hydrozoa; Hydroidolina; Anthoathecata; Filifera; Hydractiniidae; Hydractinia		Hydractinia_echinata___________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Ixodes_scapularis______________________________________________________________	6945	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Acari; Parasitiformes; Ixodida; Ixodoidea; Ixodidae; Ixodinae; Ixodes		Ixodes_scapularis______________________________________________________________
../considered_data/Philippe2009/Philippe2009.nex	Leucetta_chagosensis___________________________________________________________	185688	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Porifera; Calcarea; Calcinea; Clathrinida; Leucettidae; Leucetta		Leucetta_chagosensis___________________________________________________________
