protein	start	end	length
arp21	1	154	154
arp23	155	375	221
atpsynthalpha-a-mt	376	857	482
cct-A	858	1369	512
cct-B	1370	1861	492
cct-D	1862	2351	490
cct-E	2352	2877	526
cct-G	2878	3380	503
cct-N	3381	3892	512
cct-Z	3893	4366	474
cpn60-mt	4367	4848	482
crfg	4849	5316	468
ef2-EF2	5317	6052	736
eif5a	6053	6150	98
grc5	6151	6358	208
hsp70-E	6359	6941	583
hsp70-mt	6942	7523	582
hsp90-C	7524	8142	619
hsp90-E	8143	8732	590
if1a	8733	8844	112
if2g	8845	9288	444
if4a-a	9289	9672	384
if4a-b	9673	10026	354
if6	10027	10250	224
l12e-A	10251	10355	105
l12e-C	10356	10479	124
l12e-D	10480	10703	224
nsf1-G	10704	11084	381
nsf1-K	11085	11470	386
nsf1-L	11471	11850	380
nsf1-M	11851	12253	403
nsf2-A	12254	12992	739
orf2	12993	13165	173
psma-A	13166	13370	205
psma-C	13371	13594	224
psma-D	13595	13810	216
psma-E	13811	14034	224
psma-F	14035	14260	226
psma-G	14261	14482	222
psma-H	14483	14659	177
psmb-I	14660	14843	184
psmb-J	14844	15034	191
psmb-K	15035	15255	221
psmb-L	15256	15450	195
psmb-M	15451	15646	196
psmb-N	15647	15810	164
rad23	15811	16000	190
rf1	16001	16403	403
rpl1	16404	16614	211
rpl11b	16615	16781	167
rpl12b	16782	16942	161
rpl13	16943	17110	168
rpl14a	17111	17203	93
rpl15a	17204	17407	204
rpl16b	17408	17576	169
rpl17	17577	17735	159
rpl18	17736	17910	175
rpl19a	17911	18093	183
rpl2	18094	18340	247
rpl20	18341	18492	152
rpl21	18493	18639	147
rpl22	18640	18720	81
rpl23a	18721	18858	138
rpl24-A	18859	18968	110
rpl24-B	18969	19105	137
rpl25	19106	19228	123
rpl26	19229	19351	123
rpl27	19352	19479	128
rpl3	19480	19864	385
rpl30	19865	19969	105
rpl31	19970	20063	94
rpl32	20064	20178	115
rpl33a	20179	20267	89
rpl34	20268	20367	100
rpl35	20368	20481	114
rpl36	20482	20547	66
rpl37a	20548	20621	74
rpl38	20622	20672	51
rpl39	20673	20721	49
rpl42	20722	20820	99
rpl43b	20821	20889	69
rpl4B	20890	21188	299
rpl5	21189	21457	269
rpl6	21458	21562	105
rpl7-A	21563	21762	200
rpl9	21763	21933	171
rpp0	21934	22203	270
rps1	22204	22437	234
rps10	22438	22520	83
rps11	22521	22654	134
rps13a	22655	22805	151
rps14	22806	22939	134
rps15	22940	23077	138
rps16	23078	23189	112
rps17	23190	23289	100
rps18	23290	23439	150
rps19	23440	23566	127
rps2	23567	23776	210
rps20	23777	23878	102
rps22a	23879	24008	130
rps23	24009	24151	143
rps24	24152	24265	114
rps25	24266	24351	86
rps26	24352	24449	98
rps27	24450	24524	75
rps27a	24525	24581	57
rps28a	24582	24633	52
rps29	24634	24675	42
rps3	24676	24874	199
rps4	24875	25127	253
rps5	25128	25302	175
rps6	25303	25512	210
rps7	25513	25670	158
rps8	25671	25838	168
rps9	25839	26007	169
sadhchydrolase-E1	26008	26410	403
sap40	26411	26613	203
srs	26614	27013	400
stbproptase2a-b	27014	27312	299
suca	27313	27599	287
tribe1006	27600	27661	62
tribe1007	27662	27883	222
tribe1009	27884	28103	220
tribe1012	28104	28207	104
tribe1015	28208	28340	133
tribe1047	28341	28498	158
tribe1050	28499	28568	70
tribe1054	28569	28708	140
tribe1077	28709	28755	47
tribe1099	28756	28867	112
tribe1118	28868	29079	212
tribe1121	29080	29150	71
tribe1132	29151	29238	88
tribe1136	29239	29321	83
tribe1165	29322	29429	108
tribe1169	29430	29531	102
tribe263_mt	29532	29720	189
tribe281	29721	29794	74
tribe320	29795	29864	70
tribe330_mt	29865	30056	192
tribe333	30057	30153	97
tribe340	30154	30223	70
tribe351	30224	30301	78
tribe368_mt	30302	30481	180
tribe369_mt	30482	30563	82
tribe380_mt	30564	30706	143
tribe400_mt	30707	30825	119
tribe435	30826	30961	136
tribe460	30962	30996	35
tribe495	30997	31204	208
tribe507	31205	31267	63
tribe508	31268	31478	211
tribe532	31479	31614	136
tribe542	31615	31697	83
tribe550	31698	31749	52
tribe572	31750	31867	118
tribe585-A	31868	32049	182
tribe586	32050	32187	138
tribe593	32188	32310	123
tribe613	32311	32374	64
tribe619	32375	32403	29
tribe622	32404	32658	255
tribe629-A	32659	32741	83
tribe632	32742	32893	152
tribe646	32894	32955	62
tribe647	32956	33045	90
tribe686	33046	33088	43
tribe700	33089	33208	120
tribe716	33209	33275	67
tribe717	33276	33355	80
tribe726	33356	33402	47
tribe739	33403	33459	57
tribe740	33460	33565	106
tribe742	33566	33671	106
tribe756	33672	33904	233
tribe764	33905	33965	61
tribe765	33966	34044	79
tribe768	34045	34166	122
tribe783-A	34167	34227	61
tribe801-mt	34228	34367	140
tribe831	34368	34478	111
tribe832	34479	34723	245
tribe850	34724	34905	182
tribe852	34906	35001	96
tribe861	35002	35066	65
tribe893	35067	35175	109
tribe895	35176	35317	142
tribe896	35318	35506	189
tribe905	35507	35549	43
tribe927	35550	35628	79
tribe930	35629	35732	104
tribe942	35733	35933	201
u2snrnp	35934	36096	163
vacaatpasepl21-a	36097	36233	137
vate	36234	36421	188
vdac2	36422	36631	210
w09c	36632	36879	248
ald	36880	37061	182
atp-b	37062	37488	427
cat	37489	37736	248
ef1a	37737	38135	399
met	38136	38434	299
pfk	38435	38577	143
