SMATRIX-Range	KOG #
1 => 238	KOG0001
239 => 857	KOG0019
858 => 1000	KOG0027
1001 => 1165	KOG0072
1166 => 1325	KOG0084
1326 => 1848	KOG0100
1849 => 1981	KOG0185
1982 => 2141	KOG0190
2142 => 2368	KOG0279
2369 => 2665	KOG0286
2666 => 2832	KOG0394
2833 => 2973	KOG0417
2974 => 3076	KOG0543
3077 => 3349	KOG0594
3350 => 3678	KOG0657
3679 => 4049	KOG0676
4050 => 4327	KOG0683
4328 => 4536	KOG0841
4537 => 4695	KOG0854
4696 => 5000	KOG1339
5001 => 5371	KOG1370
5372 => 5788	KOG1373
5789 => 6229	KOG1375
6230 => 6538	KOG1496
6539 => 6797	KOG1523
6798 => 7043	KOG1542
7044 => 7364	KOG1557
7365 => 7567	KOG1577
7568 => 7703	KOG1745
7704 => 7825	KOG1756
7826 => 8240	KOG2450
8241 => 8484	KOG2541
8485 => 8766	KOG2772
8767 => 9018	KOG2826
9019 => 9187	KOG3205
