year	manuscript	paper_source	matrix	clade	model_equilibrium	model_rate_matrix	model_site_rate_hetero	model_combined	recoding	software	software_version	inference	convergence	support_ctenophora_sister	support_porifera_sister	support_porifera-monophyletic	support_porifera_ctenophora_sister	notes	final
2008	Dunn2008	Figure 2	Dunn2008	Opisthokonta	mix	WAG	NA	WAG	aa	RAxML	VI-HPC 2.2.1	ML	NA	99	NA	NA	NA	Cn + Po sister	Ctenophora-sister
2008	Dunn2008	Figure 1	Dunn2008	Opisthokonta	mix	WAG	NA	WAG	aa	RAxML	VI-HPC 2.2.1	ML	NA	97	NA	NA	NA	Cn + Po sister	Ctenophora-sister
2008	Dunn2008	Figure 2	Dunn2008	Opisthokonta	Empritical	WAG	GAMMA	WAG	aa	MrBayes	3.1.2	Bayesian	TRUE	100	0	NA	0	Cn + Po sister	Ctenophora-sister
2008	Dunn2008	Figure 2	Dunn2008	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	2.3	Bayesian	TRUE	100	0	NA	0	Cn + Po sister	Ctenophora-sister
2009	Hejnol2009	Figure 2	Hejnol2009	Opisthokonta	NA	data partitioning	GAMMA	data partitioning	aa	RAxML	7.0.4	ML	NA	NA	NA	NA	NA	Model selection was done by RAxML perl script so no data is available	Unresolved
2009	Hejnol2009	Figure 2	Hejnol2009_53	Opisthokonta	NA	data partitioning	GAMMA	data partitioning	aa	RAxML	7.0.4	ML	NA	NA	NA	NA	NA		Unresolved
2009	Hejnol2009	Figure 2	Hejnol2009_844	Opisthokonta	NA	data partitioning	GAMMA	data partitioning	aa	RAxML	7.0.4	ML	NA	96	NA	100	NA	Model selection was done by RAxML perl script so no data is available	Ctenophora-sister
2009	Hejnol2009	Figure 2	Hejnol2009_330	Opisthokonta	NA	data partitioning	GAMMA	data partitioning	aa	RAxML	7.0.4	ML	NA	79	NA	100	NA		Unresolved
2009	Philippe2009	Figure S2	Philippe2009	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	2.3	Bayesian	TRUE	NA	96	100	NA		Porifera-sister
2009	Philippe2009	Figure S1	Philippe2009	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	2.3	Bayesian	TRUE	NA	92	90	NA		Unresolved
2010	Pick2010	Figure 1	Pick2010	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.1d	Bayesian	NA	NA	91	NA	NA		Unresolved
2010	Pick2010	Figure S1	Pick2010	Opisthokonta	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.1d	Bayesian	NA	NA	84	72	NA		Unresolved
2010	Pick2010	Figure 1	Pick2010	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.1d	Bayesian	NA	NA	72	91	NA		Unresolved
2013	Nosenko2013	Figure S3	Nosenko2013_ribo_11057	Choanimalia	NA	GTR	GAMMA	GTR	aa	PhyloBayes	3.2e	Bayesian	TRUE	100	NA	NA	NA		Ctenophora-sister
2013	Nosenko2013	Fig.S1	Nosenko2013_ribo_14615	Choanimalia	CAT	GTR	GAMMA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	TRUE	NA	NA	99	NA		Unresolved
2013	Nosenko2013	Figure 1	Nosenko2013_concatenation_50taxa_22975	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	TRUE	NA	NA	93	NA		Unresolved
2013	Nosenko2013	Fig.2B	Nosenko2013_nonribo_9187	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	TRUE	NA	NA	91	NA		Unresolved
2013	Ryan2013	Table 1	Ryan2013_genome	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	NA	2	98	NA	0		Porifera-sister
2013	Ryan2013	Table 1	Ryan2013_genome	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	NA	13	64	NA	53		Unresolved
2013	Ryan2013	Table 1	Ryan2013_genome	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	NA	71	29	NA	69		Unresolved
2013	Ryan2013	Table 1	Ryan2013_genome	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	RAxML	7.2.28	ML	NA	100	0	NA	0		Ctenophora-sister
2013	Nosenko2013	Figure 3	Nosenko2013_concatenation_50taxa_20244	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	TRUE	NA	99	NA	NA		Porifera-sister
2013	Ryan2013	Table 1	Ryan2013_est	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	FALSE	2	98	99	NA		Porifera-sister
2013	Nosenko2013	Fig.2A	Nosenko2013_ribo_14615	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	TRUE	NA	97	NA	NA		Porifera-sister
2013	Ryan2013	Table 1	Ryan2013_est	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	FALSE	13	64	100	NA		Unresolved
2013	Ryan2013	Table 1	Ryan2013_est	Holozoa	NA	GTR	GAMMA	GTR	aa	RAxML	7.2.28	ML	NA	96	0	80	NA		Ctenophora-sister
2013	Ryan2013	Table 1	Ryan2013_est	Opisthokonta	NA	GTR	GAMMA	GTR	aa	RAxML	7.2.28	ML	NA	96	0	77	NA		Ctenophora-sister
2013	Ryan2013	Table 1	Ryan2013_est	Choanimalia	NA	GTR	GAMMA	GTR	aa	RAxML	7.2.28	ML	NA	93	0	54	NA		Ctenophora-sister
2013	Ryan2013	Table 1	Ryan2013_genome	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	RAxML	7.2.28	ML	NA	47	0	NA	69		Unresolved
2013	Ryan2013	Table 1	Ryan2013_genome	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	RAxML	7.2.28	ML	NA	31	0	NA	53		Unresolved
2013	Ryan2013	Table 1	Ryan2013_est	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes	3.2e	Bayesian	FALSE	71	29	100	NA		Unresolved
2014	Moroz2014	Figure 3	Moroz2014_3b	Opisthokonta	Empritical	WAG	CAT	WAG	aa	RAxML	7.2.7	ML	NA	100	NA	97	NA		Ctenophora-sister
2014	Moroz2014	Figure 3	Moroz2014_3c	Opisthokonta	Empritical	WAG	CAT	WAG	aa	RAxML	7.2.7	ML	NA	100	NA	100	NA		Ctenophora-sister
2014	Moroz2014	Figure 3	Moroz2014_3a	Opisthokonta	Empritical	WAG	CAT	WAG	aa	RAxML	7.2.7	ML	NA	75	NA	53	NA		Unresolved
2014	Moroz2014	Figure 3	Moroz2014_3d	Opisthokonta	Empritical	WAG	CAT	WAG	aa	RAxML	7.2.7	ML	NA	33	NA	16	NA		Unresolved
