"component_number"	"matrix"	"partition"	"edges"	"nodes_in_component"	"component_density"	"BUSCO_ID"	"BUSCO_description"	"SwissProt_accession"	"SwissProt_description"	"GO_annotations"	"ribo_found"	"BUSCO"
"1"	"0"	"Whelan2015_D10"	"Gene_0557"	2	5	0.7	NA	NA	"Q9EPE9.2"	"RecName: Full=Manganese-transporting ATPase 13A1; Short=CATP"	"GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874"	FALSE	NA
"2"	"0"	"Whelan2015_D20"	"Gene_0557"	2	5	0.7	NA	NA	"Q9EPE9.2"	"RecName: Full=Manganese-transporting ATPase 13A1; Short=CATP"	"GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874"	FALSE	NA
"3"	"0"	"Whelan2017_full"	"Subset4_12"	4	5	0.7	"EOG091G00UD"	"P-type ATPase"	"P90747.3"	"RecName: Full=Probable manganese-transporting ATPase catp-8; AltName: Full=Cation transporting ATPase 8"	"GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874"	FALSE	"P-type ATPase"
"4"	"0"	"Simion2017"	"V2META10402-2-2-42-Calc_Hmm10-BMGE05"	4	5	0.7	"EOG091G00UD"	"P-type ATPase"	"Q9HD20.2"	"RecName: Full=Manganese-transporting ATPase 13A1"	"GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220"	FALSE	"P-type ATPase"
"5"	"0"	"Whelan2015_D1"	"Gene_0557"	2	5	0.7	NA	NA	"Q9HD20.2"	"RecName: Full=Manganese-transporting ATPase 13A1"	"GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220"	FALSE	NA
"6"	"1"	"Whelan2017_full"	"Subset31_04"	3	24	0.217391304347826	NA	NA	"A0A120HYZ1.1"	"RecName: Full=Lysine--tRNA ligase cla4; AltName: Full=Cladosporin biosynthesis cluster protein 4; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS"	"GO:0005737; GO:0005524; GO:0004824; GO:0003676; GO:0006430"	FALSE	NA
"7"	"1"	"Whelan2017_full"	"Subset2_08"	2	24	0.217391304347826	"EOG091G06U0"	"ubiquitin specific peptidase 39"	"Q3TIX9.2"	"RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39"	"GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245"	FALSE	"ubiquitin specific peptidase 39"
"8"	"1"	"Simion2017"	"V2META13689-42-Calc_Hmm10-BMGE05"	3	24	0.217391304347826	"EOG091G0530"	"Aminoacyl-tRNA synthetase, class II (D/K/N)"	"P14868.2"	"RecName: Full=Aspartate--tRNA ligase, cytoplasmic; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; AltName: Full=Cell proliferation-inducing gene 40 protein"	"GO:0017101; GO:0005737; GO:0005829; GO:0070062; GO:0016020; GO:0045202; GO:0004046; GO:0004815; GO:0005524; GO:0003723; GO:0006422; GO:0065003; GO:0006412; GO:0006418"	FALSE	"Aminoacyl-tRNA synthetase, class II (D/K/N)"
"9"	"1"	"Whelan2017_strict"	"Subset19_01"	20	24	0.217391304347826	"EOG091G0530"	"Aminoacyl-tRNA synthetase, class II (D/K/N)"	"P11029.1"	"RecName: Full=Acetyl-CoA carboxylase; Short=ACC; Includes: RecName: Full=Biotin carboxylase"	"GO:0005623; GO:0005737; GO:0003989; GO:0005524; GO:0009374; GO:0004075; GO:0050692; GO:0046872; GO:0005102; GO:0032810; GO:0046966; GO:0006633; GO:2001295; GO:0010628; GO:0045893; GO:0065008; GO:0040029; GO:0009743; GO:0070542; GO:0097066; GO:0006810"	FALSE	"Aminoacyl-tRNA synthetase, class II (D/K/N)"
"10"	"1"	"Borowiec2015_Total1080"	"OG52.fasta.aln_gene592"	3	24	0.217391304347826	NA	NA	NA	NA	NA	NA	NA
"11"	"1"	"Hejnol2009"	"Tribe1172_0"	3	24	0.217391304347826	NA	NA	"Q3SYZ4.1"	"RecName: Full=Aspartate--tRNA ligase, cytoplasmic; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS"	"GO:0017101; GO:0005829; GO:0004815; GO:0005524; GO:0003723; GO:0006422"	FALSE	NA
"12"	"1"	"Simion2017"	"V2META12988-42-Calc_Hmm10-BMGE05"	5	24	0.217391304347826	NA	NA	"Q0VD01.1"	"RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP4; Short=U3 snoRNP protein IMP4"	"GO:0001650; GO:0034457; GO:0005730; GO:0032040; GO:0030515; GO:0006364"	FALSE	NA
"13"	"1"	"Moroz2014_3d"	"0320"	4	24	0.217391304347826	"EOG091G0CQ2"	"ribosome production factor 1 homolog"	"Q5R631.1"	"RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1"	"GO:0005730; GO:0003723; GO:0019843; GO:0006364"	FALSE	"ribosome production factor 1 homolog"
"14"	"1"	"Nosenko2013_ribo_14615"	"KOG0875"	5	24	0.217391304347826	NA	NA	"O44248.3"	"RecName: Full=60S ribosomal protein L5"	"GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412"	TRUE	NA
"15"	"1"	"Borowiec2015_Best108"	"OG52.fasta.aln_gene65"	3	24	0.217391304347826	NA	NA	"P37879.1"	"RecName: Full=Lysine--tRNA ligase; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS"	"GO:0017101; GO:0005829; GO:0005576; GO:0005634; GO:0005886; GO:0003877; GO:0005524; GO:0004824; GO:0003676; GO:0015966; GO:0006430"	FALSE	NA
"16"	"1"	"Whelan2017_full"	"Subset24_03"	6	24	0.217391304347826	NA	NA	"Q95276.3"	"RecName: Full=60S ribosomal protein L5"	"GO:0005737; GO:0022625; GO:0005730; GO:0008097; GO:0003735; GO:0000027; GO:0006412"	TRUE	NA
"17"	"1"	"Borowiec2015_Total1080"	"OG202.fasta.aln_gene245"	3	24	0.217391304347826	"EOG091G0530"	"Aminoacyl-tRNA synthetase, class II (D/K/N)"	NA	NA	NA	NA	"Aminoacyl-tRNA synthetase, class II (D/K/N)"
"18"	"1"	"Simion2017"	"V2META13732-42-Calc_Hmm10-BMGE05"	6	24	0.217391304347826	NA	NA	"O44248.3"	"RecName: Full=60S ribosomal protein L5"	"GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412"	TRUE	NA
"19"	"1"	"Borowiec2015_Best108"	"OG43.fasta.aln_gene54"	8	24	0.217391304347826	"EOG091G0CQ2"	"ribosome production factor 1 homolog"	"Q6IQU6.1"	"RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1"	"GO:0005730; GO:0030687; GO:0003723; GO:0019843; GO:0006364"	FALSE	"ribosome production factor 1 homolog"
"20"	"1"	"Borowiec2015_Total1080"	"OG43.fasta.aln_gene500"	8	24	0.217391304347826	"EOG091G0CQ2"	"ribosome production factor 1 homolog"	NA	NA	NA	NA	"ribosome production factor 1 homolog"
"21"	"1"	"Borowiec2015_Total1080"	"OG44.fasta.aln_gene511"	5	24	0.217391304347826	NA	NA	NA	NA	NA	NA	NA
"22"	"1"	"Nosenko2013_ribo_11057"	"KOG0875"	5	24	0.217391304347826	NA	NA	"A2WXX3.2"	"RecName: Full=60S ribosomal protein L5-1"	"GO:0005634; GO:0005840; GO:0008097; GO:0003735; GO:0006412"	TRUE	NA
"23"	"1"	"Simion2017"	"V2META10174-2-42-Calc_Hmm10-BMGE05"	1	24	0.217391304347826	NA	NA	"E9Q4Z2.1"	"RecName: Full=Acetyl-CoA carboxylase 2; AltName: Full=ACC-beta; Includes: RecName: Full=Biotin carboxylase; Flags: Precursor"	"GO:0012505; GO:0016020; GO:0005739; GO:0005634; GO:0003989; GO:0005524; GO:0009374; GO:0004075; GO:0042802; GO:0046872; GO:0006084; GO:0097009; GO:0006633; GO:2001295; GO:0043086; GO:0031999; GO:0046322; GO:0010629; GO:0050995; GO:0060421; GO:0010884; GO:0051289; GO:0010906; GO:0042493; GO:0031667; GO:0014070"	FALSE	NA
"24"	"1"	"Chang2015"	"rpl5"	6	24	0.217391304347826	NA	NA	"O44248.3"	"RecName: Full=60S ribosomal protein L5"	"GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412"	TRUE	NA
"25"	"1"	"Hejnol2009"	"Tribe2313_0"	2	24	0.217391304347826	"EOG091G06U0"	"ubiquitin specific peptidase 39"	"Q3TIX9.2"	"RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39"	"GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245"	FALSE	"ubiquitin specific peptidase 39"
"26"	"1"	"Ryan2013_est"	"gene71"	5	24	0.217391304347826	NA	NA	"Q5R947.2"	"RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP4; Short=U3 snoRNP protein IMP4"	"GO:0001650; GO:0034457; GO:0006364"	FALSE	NA
"27"	"1"	"Simion2017"	"V2META15349-42-Calc_Hmm10-BMGE05"	4	24	0.217391304347826	"EOG091G0CQ2"	"ribosome production factor 1 homolog"	"Q5RJS9.2"	"RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1"	"GO:0005730; GO:0030687; GO:0003723; GO:0019843; GO:0006364"	FALSE	"ribosome production factor 1 homolog"
"28"	"1"	"Philippe2009"	"Gene_0085"	6	24	0.217391304347826	NA	NA	"P15125.2"	"RecName: Full=60S ribosomal protein L5-A"	"GO:0005730; GO:0005840; GO:0008097; GO:0003735; GO:0006412"	TRUE	NA
"29"	"1"	"Ryan2013_est"	"gene103"	4	24	0.217391304347826	"EOG091G0CQ2"	"ribosome production factor 1 homolog"	"Q5R631.1"	"RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1"	"GO:0005730; GO:0003723; GO:0019843; GO:0006364"	FALSE	"ribosome production factor 1 homolog"
"30"	"2"	"Whelan2017_full"	"Subset29_02"	2	3	1	"EOG091G10O5"	"NMD3 ribosome export adaptor"	"Q6P2Z6.1"	"RecName: Full=60S ribosomal export protein NMD3"	"GO:0005737; GO:0005730; GO:0005654; GO:0005634; GO:0043023; GO:0000055"	FALSE	"NMD3 ribosome export adaptor"
"31"	"2"	"Hejnol2009"	"Tribe1717_0"	2	3	1	"EOG091G10O5"	"NMD3 ribosome export adaptor"	"Q96D46.1"	"RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3"	"GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055"	FALSE	"NMD3 ribosome export adaptor"
"32"	"2"	"Simion2017"	"V2META13679-42-Calc_Hmm10-BMGE05"	2	3	1	"EOG091G10O5"	"NMD3 ribosome export adaptor"	"Q96D46.1"	"RecName: Full=60S ribosomal export protein NMD3; Short=hNMD3"	"GO:0005737; GO:0016020; GO:0005730; GO:0005654; GO:0005634; GO:0030674; GO:0043023; GO:0003723; GO:0032092; GO:1904751; GO:1902680; GO:0000055"	FALSE	"NMD3 ribosome export adaptor"
