	component_number	matrix_partition
0	0	Whelan2015_D10Gene_0557
1	0	Whelan2015_D20Gene_0557
2	0	Whelan2017_fullSubset4_12
3	0	Simion2017V2META10402-2-2-42-Calc_Hmm10-BMGE05
4	0	Whelan2015_D1Gene_0557
5	1	Whelan2017_fullSubset31_04
6	1	Whelan2017_fullSubset2_08
7	1	Simion2017V2META13689-42-Calc_Hmm10-BMGE05
8	1	Whelan2017_strictSubset19_01
9	1	Borowiec2015_Total1080OG52.fasta.aln_gene592
10	1	Hejnol2009Tribe1172_0
11	1	Simion2017V2META12988-42-Calc_Hmm10-BMGE05
12	1	Moroz2014_3d320
13	1	Nosenko2013_ribo_14615KOG0875
14	1	Borowiec2015_Best108OG52.fasta.aln_gene65
15	1	Whelan2017_fullSubset24_03
16	1	Borowiec2015_Total1080OG202.fasta.aln_gene245
17	1	Simion2017V2META13732-42-Calc_Hmm10-BMGE05
18	1	Borowiec2015_Best108OG43.fasta.aln_gene54
19	1	Borowiec2015_Total1080OG43.fasta.aln_gene500
20	1	Borowiec2015_Total1080OG44.fasta.aln_gene511
21	1	Nosenko2013_ribo_11057KOG0875
22	1	Simion2017V2META10174-2-42-Calc_Hmm10-BMGE05
23	1	Chang2015rpl5
24	1	Hejnol2009Tribe2313_0
25	1	Ryan2013_estgene71
26	1	Simion2017V2META15349-42-Calc_Hmm10-BMGE05
27	1	Philippe2009Gene_0085
28	1	Ryan2013_estgene103
29	2	Whelan2017_fullSubset29_02
30	2	Hejnol2009Tribe1717_0
31	2	Simion2017V2META13679-42-Calc_Hmm10-BMGE05
32	3	Simion2017V2META13838-42-Calc_Hmm10-BMGE05
33	3	Hejnol2009Tribe1748_0
34	3	Borowiec2015_Total1080OG438.fasta.aln_gene498
35	3	Whelan2017_fullSubset29_05
36	3	Borowiec2015_Best108OG438.fasta.aln_gene53
37	4	Whelan2017_fullSubset4_21
38	4	Moroz2014_3d1019
39	4	Simion2017V2META10342-1-1-42-Calc_Hmm10-BMGE05
40	5	Whelan2017_fullSubset2_20
41	5	Simion2017V2META11108-42-Calc_Hmm10-BMGE05
42	5	Chang2015tribe1381
43	5	Hejnol2009Tribe1899_0
44	6	Whelan2015_D1Gene_0443
45	6	Whelan2015_D20Gene_0443
46	6	Hejnol2009Tribe1932_0
47	6	Whelan2017_fullSubset30_02
48	6	Whelan2015_D10Gene_0443
49	6	Borowiec2015_Best108OG567.fasta.aln_gene72
