# BUSCO version is: 3.0.2 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python /ysm-gpfs/apps/software/BUSCO/3.0.2-foss-2016b-Python-2.7.13/bin/run_BUSCO.py -i animal_root.fa -o animal_root_metazoa_busco -l /ysm-gpfs/apps/software/BUSCO/3.0.2-foss-2016b-Python-2.7.13/datasets/metazoa_odb9/ -m proteins -c 25 -t /tmp/
#
# Busco id	Status	Sequence	Score	Length
EOG091G00AH	Fragmented	Simion2017:supermatrix_97sp_401632pos_1719genes:Homo_sapiens:9606:V2META11982-42-Calc_Hmm10-BMGE05	195.3	298
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Amphimedon_queenslandica:400682:gene71	551.7	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Caenorhabditis_elegans:6239:gene71	514.5	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Capitella_teleta:283909:gene71	577.9	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Capsaspora_owczarzaki:192875:gene71	536.8	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Drosophila_melanogaster:7227:gene71	526.4	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Helobdella_robusta:6412:gene71	543.2	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Homo_sapiens:9606:gene71	582.3	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Lottia_gigantea:225164:gene71	556.8	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Monosiga_brevicollis:81824:gene71	523.8	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Nematostella_vectensis:45351:gene71	565.2	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Sphaeroforma_arctica:72019:gene71	550.8	354
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Strongylocentrotus_purpuratus:7668:gene71	518.2	339
EOG091G00CM	Duplicated	Ryan2013:genome.opisthokonta:Trichoplax_adhaerens:10228:gene71	543.1	354
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Amphimedon_queenslandica:400682:V2META13276-42-Calc_Hmm10-BMGE05	495.2	330
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Aurelia_aurita:6145:V2META13276-42-Calc_Hmm10-BMGE05	495.3	327
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Branchiostoma_floridae:7739:V2META13276-42-Calc_Hmm10-BMGE05	508.8	329
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Capitella_teleta:283909:V2META13276-42-Calc_Hmm10-BMGE05	524.9	329
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Crassostrea_gigas:29159:V2META13276-42-Calc_Hmm10-BMGE05	511.0	330
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Euplectella_aspergillum:936045:V2META13276-42-Calc_Hmm10-BMGE05	510.3	328
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Exaiptasia_pallida:1720309:V2META13276-42-Calc_Hmm10-BMGE05	499.3	327
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Homo_sapiens:9606:V2META13276-42-Calc_Hmm10-BMGE05	521.1	327
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Hydra_vulgaris_01:6087:V2META13276-42-Calc_Hmm10-BMGE05	499.8	329
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Ixodes_scapularis:6945:V2META13276-42-Calc_Hmm10-BMGE05	506.9	330
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Petrosia_ficiformis:68564:V2META13276-42-Calc_Hmm10-BMGE05	497.2	328
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Rossella_fibulata:1076269:V2META13276-42-Calc_Hmm10-BMGE05	506.8	329
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Stomolophus_meleagris:168796:V2META13276-42-Calc_Hmm10-BMGE05	502.8	327
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Sympagella_nux:76350:V2META13276-42-Calc_Hmm10-BMGE05	498.7	327
EOG091G00CM	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Tribolium_castaneum:7070:V2META13276-42-Calc_Hmm10-BMGE05	510.2	354
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Drosophila_melanogaster:7227:gene103	1192.9	934
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Helobdella_robusta:6412:gene103	1119.3	931
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Homo_sapiens:9606:gene103	1288.0	934
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Lottia_gigantea:225164:gene103	1175.5	933
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Nematostella_vectensis:45351:gene103	1160.3	886
EOG091G00GM	Duplicated	Ryan2013:genome.opisthokonta:Strongylocentrotus_purpuratus:7668:gene103	1183.1	934
EOG091G00GM	Duplicated	Whelan2017:Metazoa_Choano_RCFV_strict:Homo_sapiens:9606:Subset13_01	1109.6	947
EOG091G00GQ	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Alatina_alata:1193083:V2META11911-42-Calc_Hmm10-BMGE05	824.4	706
EOG091G00GQ	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Aplysia_californica:6500:V2META11911-42-Calc_Hmm10-BMGE05	782.5	704
EOG091G00GQ	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Capitella_teleta:283909:V2META11911-42-Calc_Hmm10-BMGE05	859.1	704
EOG091G00GQ	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Craspedacusta_sowerbii:128124:V2META11911-42-Calc_Hmm10-BMGE05	801.3	705
EOG091G00GQ	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Crassostrea_gigas:29159:V2META11911-42-Calc_Hmm10-BMGE05	863.4	708
