mscript1	dataset1	part1	mscript2	dataset2	part2	count
Borowiec2015	Best108	OG1004.fasta.aln_gene1	Borowiec2015	Best108	OG1004.fasta.aln_gene1	32
Borowiec2015	Best108	OG1004.fasta.aln_gene1	Borowiec2015	Total1080	OG1004.fasta.aln_gene4	32
Borowiec2015	Best108	OG1004.fasta.aln_gene1	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13438-42-Calc_Hmm10-BMGE05	12
Borowiec2015	Best108	OG1005.fasta.aln_gene2	Borowiec2015	Best108	OG1005.fasta.aln_gene2	36
Borowiec2015	Best108	OG1005.fasta.aln_gene2	Borowiec2015	Total1080	OG1005.fasta.aln_gene5	36
Borowiec2015	Best108	OG1010.fasta.aln_gene3	Borowiec2015	Best108	OG1010.fasta.aln_gene3	34
Borowiec2015	Best108	OG1010.fasta.aln_gene3	Borowiec2015	Total1080	OG1010.fasta.aln_gene10	34
Borowiec2015	Best108	OG1010.fasta.aln_gene3	Ryan2013	est.opisthokonta	gene293	2
Borowiec2015	Best108	OG1011.fasta.aln_gene4	Borowiec2015	Best108	OG1011.fasta.aln_gene4	34
Borowiec2015	Best108	OG1011.fasta.aln_gene4	Borowiec2015	Total1080	OG1011.fasta.aln_gene11	34
Borowiec2015	Best108	OG1011.fasta.aln_gene4	Chang2015	Chang2015	pace2	1
Borowiec2015	Best108	OG1011.fasta.aln_gene4	Hejnol2009	Hejnol2009	Tribe1169_0	7
Borowiec2015	Best108	OG1011.fasta.aln_gene4	Ryan2013	est.opisthokonta	gene152	3
Borowiec2015	Best108	OG1064.fasta.aln_gene5	Borowiec2015	Best108	OG1064.fasta.aln_gene5	43
Borowiec2015	Best108	OG1064.fasta.aln_gene5	Borowiec2015	Total1080	OG1064.fasta.aln_gene61	43
Borowiec2015	Best108	OG1064.fasta.aln_gene5	Chang2015	Chang2015	hsp70	14
Borowiec2015	Best108	OG1064.fasta.aln_gene5	Philippe2009	Philippe2009	hsp70-E	3
Borowiec2015	Best108	OG1111.fasta.aln_gene6	Borowiec2015	Best108	OG1111.fasta.aln_gene6	35
Borowiec2015	Best108	OG1111.fasta.aln_gene6	Borowiec2015	Total1080	OG1111.fasta.aln_gene103	35
Borowiec2015	Best108	OG1111.fasta.aln_gene6	Hejnol2009	Hejnol2009	Tribe2723_0	8
Borowiec2015	Best108	OG1111.fasta.aln_gene6	Ryan2013	est.opisthokonta	gene33	11
Borowiec2015	Best108	OG1129.fasta.aln_gene7	Borowiec2015	Best108	OG1129.fasta.aln_gene7	21
Borowiec2015	Best108	OG1129.fasta.aln_gene7	Borowiec2015	Total1080	OG1129.fasta.aln_gene120	21
Borowiec2015	Best108	OG113.fasta.aln_gene9	Borowiec2015	Best108	OG113.fasta.aln_gene9	34
Borowiec2015	Best108	OG113.fasta.aln_gene9	Borowiec2015	Total1080	OG113.fasta.aln_gene131	34
Borowiec2015	Best108	OG1130.fasta.aln_gene8	Borowiec2015	Best108	OG1130.fasta.aln_gene8	31
Borowiec2015	Best108	OG1130.fasta.aln_gene8	Borowiec2015	Total1080	OG1130.fasta.aln_gene122	31
Borowiec2015	Best108	OG1148.fasta.aln_gene10	Borowiec2015	Best108	OG1148.fasta.aln_gene10	4
Borowiec2015	Best108	OG1148.fasta.aln_gene10	Borowiec2015	Total1080	OG1148.fasta.aln_gene140	4
Borowiec2015	Best108	OG1155.fasta.aln_gene11	Borowiec2015	Best108	OG1155.fasta.aln_gene11	33
Borowiec2015	Best108	OG1155.fasta.aln_gene11	Borowiec2015	Total1080	OG1155.fasta.aln_gene148	33
Borowiec2015	Best108	OG1155.fasta.aln_gene11	Nosenko2013	ribosomal_14615_smatrix	KOG2573	9
Borowiec2015	Best108	OG1155.fasta.aln_gene11	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11095-2-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG120.fasta.aln_gene12	Borowiec2015	Best108	OG120.fasta.aln_gene12	33
Borowiec2015	Best108	OG120.fasta.aln_gene12	Borowiec2015	Total1080	OG120.fasta.aln_gene161	33
Borowiec2015	Best108	OG132.fasta.aln_gene13	Borowiec2015	Best108	OG132.fasta.aln_gene13	32
Borowiec2015	Best108	OG132.fasta.aln_gene13	Borowiec2015	Total1080	OG132.fasta.aln_gene172	32
Borowiec2015	Best108	OG139.fasta.aln_gene14	Borowiec2015	Best108	OG139.fasta.aln_gene14	34
Borowiec2015	Best108	OG139.fasta.aln_gene14	Borowiec2015	Total1080	OG139.fasta.aln_gene178	34
Borowiec2015	Best108	OG144.fasta.aln_gene15	Borowiec2015	Best108	OG144.fasta.aln_gene15	34
Borowiec2015	Best108	OG144.fasta.aln_gene15	Borowiec2015	Total1080	OG144.fasta.aln_gene183	34
Borowiec2015	Best108	OG144.fasta.aln_gene15	Chang2015	Chang2015	l12e_01	1
Borowiec2015	Best108	OG144.fasta.aln_gene15	Dunn2008	Dunn2008	Tribe169	9
Borowiec2015	Best108	OG144.fasta.aln_gene15	Hejnol2009	Hejnol2009	Tribe275_0	12
Borowiec2015	Best108	OG144.fasta.aln_gene15	Philippe2009	Philippe2009	l12e-D	6
Borowiec2015	Best108	OG144.fasta.aln_gene15	Ryan2013	est.opisthokonta	gene120	4
Borowiec2015	Best108	OG145.fasta.aln_gene16	Borowiec2015	Best108	OG145.fasta.aln_gene16	27
Borowiec2015	Best108	OG145.fasta.aln_gene16	Borowiec2015	Total1080	OG145.fasta.aln_gene184	27
Borowiec2015	Best108	OG167.fasta.aln_gene17	Borowiec2015	Best108	OG167.fasta.aln_gene17	36
Borowiec2015	Best108	OG167.fasta.aln_gene17	Borowiec2015	Total1080	OG167.fasta.aln_gene207	36
Borowiec2015	Best108	OG17.fasta.aln_gene18	Borowiec2015	Best108	OG17.fasta.aln_gene18	33
Borowiec2015	Best108	OG17.fasta.aln_gene18	Borowiec2015	Total1080	OG17.fasta.aln_gene220	33
Borowiec2015	Best108	OG190.fasta.aln_gene19	Borowiec2015	Best108	OG190.fasta.aln_gene19	35
Borowiec2015	Best108	OG190.fasta.aln_gene19	Borowiec2015	Total1080	OG190.fasta.aln_gene231	35
Borowiec2015	Best108	OG198.fasta.aln_gene20	Borowiec2015	Best108	OG198.fasta.aln_gene20	52
Borowiec2015	Best108	OG198.fasta.aln_gene20	Borowiec2015	Total1080	OG198.fasta.aln_gene239	52
Borowiec2015	Best108	OG2.fasta.aln_gene36	Borowiec2015	Best108	OG2.fasta.aln_gene36	33
Borowiec2015	Best108	OG2.fasta.aln_gene36	Borowiec2015	Total1080	OG2.fasta.aln_gene350	33
Borowiec2015	Best108	OG2.fasta.aln_gene36	Ryan2013	genome.opisthokonta	gene118	3
Borowiec2015	Best108	OG201.fasta.aln_gene21	Borowiec2015	Best108	OG201.fasta.aln_gene21	33
Borowiec2015	Best108	OG201.fasta.aln_gene21	Borowiec2015	Total1080	OG201.fasta.aln_gene244	33
Borowiec2015	Best108	OG201.fasta.aln_gene21	Hejnol2009	Hejnol2009	Tribe2563_0	2
Borowiec2015	Best108	OG201.fasta.aln_gene21	Ryan2013	genome.opisthokonta	gene3	2
Borowiec2015	Best108	OG205.fasta.aln_gene22	Borowiec2015	Best108	OG205.fasta.aln_gene22	23
Borowiec2015	Best108	OG205.fasta.aln_gene22	Borowiec2015	Total1080	OG205.fasta.aln_gene248	23
Borowiec2015	Best108	OG205.fasta.aln_gene22	Ryan2013	genome.opisthokonta	gene79	1
Borowiec2015	Best108	OG209.fasta.aln_gene23	Borowiec2015	Best108	OG209.fasta.aln_gene23	32
Borowiec2015	Best108	OG209.fasta.aln_gene23	Borowiec2015	Total1080	OG209.fasta.aln_gene252	32
Borowiec2015	Best108	OG209.fasta.aln_gene23	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12745-1-42-Calc_Hmm10-BMGE05	6
Borowiec2015	Best108	OG211.fasta.aln_gene24	Borowiec2015	Best108	OG211.fasta.aln_gene24	34
Borowiec2015	Best108	OG211.fasta.aln_gene24	Borowiec2015	Total1080	OG211.fasta.aln_gene255	34
Borowiec2015	Best108	OG218.fasta.aln_gene25	Borowiec2015	Best108	OG218.fasta.aln_gene25	34
Borowiec2015	Best108	OG218.fasta.aln_gene25	Borowiec2015	Total1080	OG218.fasta.aln_gene261	34
Borowiec2015	Best108	OG218.fasta.aln_gene25	Chang2015	Chang2015	tribe896	11
Borowiec2015	Best108	OG218.fasta.aln_gene25	Dunn2008	Dunn2008	Tribe896	7
Borowiec2015	Best108	OG218.fasta.aln_gene25	Hejnol2009	Hejnol2009	Tribe1063_0	8
Borowiec2015	Best108	OG218.fasta.aln_gene25	Ryan2013	est.opisthokonta	gene261	8
Borowiec2015	Best108	OG218.fasta.aln_gene25	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12821-42-Calc_Hmm10-BMGE05	11
Borowiec2015	Best108	OG248.fasta.aln_gene26	Borowiec2015	Best108	OG248.fasta.aln_gene26	32
Borowiec2015	Best108	OG248.fasta.aln_gene26	Borowiec2015	Total1080	OG248.fasta.aln_gene294	32
Borowiec2015	Best108	OG248.fasta.aln_gene26	Hejnol2009	Hejnol2009	Tribe3166_0	7
Borowiec2015	Best108	OG250.fasta.aln_gene27	Borowiec2015	Best108	OG250.fasta.aln_gene27	43
Borowiec2015	Best108	OG250.fasta.aln_gene27	Borowiec2015	Total1080	OG250.fasta.aln_gene297	43
Borowiec2015	Best108	OG253.fasta.aln_gene28	Borowiec2015	Best108	OG253.fasta.aln_gene28	36
Borowiec2015	Best108	OG253.fasta.aln_gene28	Borowiec2015	Total1080	OG253.fasta.aln_gene300	36
Borowiec2015	Best108	OG253.fasta.aln_gene28	Chang2015	Chang2015	rpl9	1
Borowiec2015	Best108	OG253.fasta.aln_gene28	Dunn2008	Dunn2008	Tribe143	10
Borowiec2015	Best108	OG253.fasta.aln_gene28	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13546-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG263.fasta.aln_gene29	Borowiec2015	Best108	OG263.fasta.aln_gene29	52
Borowiec2015	Best108	OG263.fasta.aln_gene29	Borowiec2015	Total1080	OG263.fasta.aln_gene311	52
Borowiec2015	Best108	OG263.fasta.aln_gene29	Ryan2013	est.opisthokonta	gene59	2
Borowiec2015	Best108	OG263.fasta.aln_gene29	Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14499-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG268.fasta.aln_gene30	Borowiec2015	Best108	OG268.fasta.aln_gene30	32
