# BUSCO version is: 3.0.2 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /ysm-gpfs/apps/software/BUSCO/3.0.2-foss-2016b-Python-2.7.13/bin/run_BUSCO.py -i animal_root.fa -o animal_root_eukaryota_busco -l /ysm-gpfs/apps/software/BUSCO/3.0.2-foss-2016b-Python-2.7.13/datasets/eukaryota_odb9/ -m proteins -c 25 -t /tmp/
#
# Busco id	Status	Sequence	Score	Length
EOG0937004M	Missing
EOG09370082	Duplicated	Moroz2014:ED3a:Capitella:51293:1033	2129.8	1532
EOG09370082	Duplicated	Moroz2014:ED3a:Daphnia:6668:1033	2114.0	1528
EOG09370082	Duplicated	Moroz2014:ED3a:Drosophila:2081351:1033	2102.5	1512
EOG09370082	Duplicated	Moroz2014:ED3a:Homo:9605:1033	2212.0	1527
EOG09370082	Duplicated	Moroz2014:ED3a:Lottia:72691:1033	2157.0	1520
EOG09370082	Duplicated	Moroz2014:ED3a:Nematostella:45350:1033	2153.6	1482
EOG09370082	Duplicated	Moroz2014:ED3a:Trichoplax:10227:1033	2079.2	1521
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Amphimedon_queenslandica:400682:gene12	2181.7	1557
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Capitella_teleta:283909:gene12	2315.7	1591
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Capsaspora_owczarzaki:192875:gene12	2101.5	1544
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Drosophila_melanogaster:7227:gene12	2255.5	1601
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Homo_sapiens:9606:gene12	2372.4	1583
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Lottia_gigantea:225164:gene12	2337.2	1583
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Mnemiopsis_leidyi:27923:gene12	2170.7	1553
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Monosiga_brevicollis:81824:gene12	2037.7	1510
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Nematostella_vectensis:45351:gene12	2329.4	1582
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Saccharomyces_cerevisiae:4932:gene12	2076.7	1531
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Spizellomyces_punctatus:109760:gene12	2151.5	1586
EOG09370082	Duplicated	Ryan2013:genome.opisthokonta:Trichoplax_adhaerens:10228:gene12	2235.1	1583
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Amphimedon_queenslandica:400682:gene196	919.7	685
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Branchiostoma_floridae:7739:gene196	1011.1	681
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Capsaspora_owczarzaki:192875:gene196	908.3	674
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Drosophila_melanogaster:7227:gene196	945.1	670
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Homo_sapiens:9606:gene196	1014.2	679
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Lottia_gigantea:225164:gene196	1003.4	702
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Nematostella_vectensis:45351:gene196	990.1	698
EOG093700N7	Duplicated	Ryan2013:genome.opisthokonta:Trichoplax_adhaerens:10228:gene196	927.5	678
EOG0937017X	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Amoebidium_parasiticum:4881:V2META10252-2-1-42-Calc_Hmm10-BMGE05	177.0	519
EOG0937017X	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Beroe_abyssicola:320166:V2META10252-2-1-42-Calc_Hmm10-BMGE05	191.0	851
EOG0937017X	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Coeloplana:140473:V2META10252-2-1-42-Calc_Hmm10-BMGE05	183.1	851
EOG0937017X	Duplicated	Simion2017:supermatrix_97sp_401632pos_1719genes:Helobdella_robusta:6412:V2META10252-2-1-42-Calc_Hmm10-BMGE05	177.9	854
