OrthoGroupID	Description	#Species	#Single-Copy	#Multi-Copy	ProtMedianLength	EvoRate	BiologicalProcesses	InterProDomains
EOG091G00AH	"KIAA0100"	293	253	40	2147	1.198	GO:0006099	IPR019439;IPR019441;IPR019443
EOG091G00CM	"Fumarylacetoacetase"	300	262	38	419	0.8223	GO:0008152;GO:0009072;GO:0044281	IPR005959;IPR011234;IPR015377
EOG091G00GM	"THO complex 2"	307	276	31	1510	0.9519	GO:0006406;GO:0016973;GO:0046784	IPR021418;IPR021726;IPR032302
EOG091G00GQ	"thyroid hormone receptor interactor 12"	316	284	32	2038	0.9858	NA	IPR000569;IPR004170;IPR011989;IPR016024
EOG091G00L0	"integrator complex subunit 1"	315	282	33	2078	1.2566	GO:0016180	IPR016024;IPR022145
EOG091G00MA	"ribosomal RNA processing 12 homolog"	308	280	28	1290	1.3356	NA	IPR011989;IPR012978;IPR016024
EOG091G00MI	"sirtuin 7"	294	281	13	403	0.873	NA	IPR003000;IPR026590;IPR029035
EOG091G00Q0	"splicing factor 3b, subunit 1, 155kDa"	322	288	34	1304	0.6488	NA	IPR011989;IPR015016;IPR016024
EOG091G00QT	"WD40 repeat"	318	278	40	1352	1.042	GO:0006468	IPR000719;IPR001680;IPR008271;IPR011009;IPR011989;IPR015943;IPR016024;IPR017986;IPR019775
EOG091G00UD	"P-type ATPase"	313	287	26	1161	0.8611	NA	IPR001757;IPR006544;IPR008250;IPR018303;IPR023214;IPR023299
EOG091G00VZ	"trafficking protein particle complex 11"	318	289	29	1117	1.1263	NA	IPR021773;IPR025876
EOG091G00Z3	"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa"	326	295	31	1185	0.8674	NA	IPR014782;IPR016024
EOG091G011X	"importin 5"	325	240	85	1097	0.879	NA	IPR000357;IPR011989;IPR016024
EOG091G017G	"Ribosomal protein S5 domain 2-type fold"	316	304	12	972	0.6606	NA	IPR000640;IPR000795;IPR004161;IPR005225;IPR005517;IPR009000;IPR009022;IPR014721;IPR020568;IPR027417;IPR031950
EOG091G017T	"N-acetyltransferase 10 (GCN5-related)"	324	292	32	1008	0.8921	NA	IPR000182;IPR007807;IPR013562;IPR016181;IPR027992;IPR032672
EOG091G019V	"glycine dehydrogenase (decarboxylating)"	309	270	39	972	0.7887	GO:0006544;GO:0006546;GO:0009056;GO:0044281;GO:0055114	IPR001597;IPR003437;IPR015421;IPR015424;IPR020580;IPR020581
EOG091G01EW	"DNA topoisomerase, type IA"	326	297	29	852	0.8008	GO:0006265;GO:0034641	IPR000380;IPR003601;IPR003602;IPR006171;IPR013497;IPR013824;IPR013825;IPR023405;IPR023406
EOG091G01GC	"Tetratricopeptide repeat"	315	289	26	1166	0.7178	GO:0016570	IPR001440;IPR011990;IPR013026;IPR013105;IPR019734;IPR031101
EOG091G01IW	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"	325	282	43	951	0.7931	GO:0042176	IPR002015;IPR011989;IPR016024;IPR016642
EOG091G01LC	"choroideremia (Rab escort protein 1)"	312	247	65	623	1.2806	NA	IPR001738;IPR018203;IPR023753
EOG091G01MK	"WASH complex subunit 7"	316	284	32	1132	1.1345	NA	IPR027307;IPR028191;IPR028282;IPR028283
EOG091G01S9	"NRDE-2, necessary for RNA interference, domain containing"	310	291	19	1054	1.5409	GO:0034641	IPR011990;IPR013633
EOG091G01TH	"CSE1 chromosome segregation 1-like (yeast)"	320	289	31	971	0.877	NA	IPR001494;IPR005043;IPR011989;IPR013713;IPR016024
EOG091G01TX	"sterile alpha and TIR motif containing 1"	315	282	33	723	0.9883	NA	IPR000157;IPR001660;IPR011989;IPR013761;IPR016024
EOG091G01VH	"Aminoacyl-tRNA synthetase, class Ia"	322	284	38	1175	0.8405	GO:0006399;GO:0006418;GO:0006429;GO:0034641;GO:0044281	IPR001412;IPR002300;IPR004493;IPR009008;IPR009080;IPR013155;IPR014729
EOG091G01WY	"SCY1-like, kinase-like 2"	317	293	24	863	0.9981	GO:0006464;GO:0006468	IPR000719;IPR011009;IPR011989;IPR016024
EOG091G01XD	"vacuolar protein sorting 16 homolog (S. cerevisiae)"	290	268	22	835	1.1873	NA	IPR006925;IPR006926;IPR016534
EOG091G01XI	"vacuolar protein sorting 18 homolog (S. cerevisiae)"	319	293	26	973	1.1582	GO:0007032;GO:0007040;GO:0008333	IPR000547;IPR001841;IPR007810
EOG091G01XQ	"karyopherin (importin) beta 1"	320	292	28	875	0.7634	NA	IPR001494;IPR011989;IPR016024;IPR021133
EOG091G01Z2	"nucleolar protein 6 (RNA-associated)"	307	279	28	1139	1.3547	NA	IPR005554
EOG091G020E	"chromosome 16 open reading frame 62"	310	286	24	958	1.0408	NA	IPR029705
EOG091G020Y	"methionyl-tRNA synthetase"	302	276	26	900	0.9564	GO:0006399;GO:0006418;GO:0006431;GO:0034641;GO:0044281	IPR000738;IPR001412;IPR009068;IPR009080;IPR010987;IPR014729;IPR014758;IPR015413;IPR023458;IPR029038
EOG091G023Z	"calpain 7"	296	287	9	783	0.9375	GO:0006508	IPR001300;IPR007330;IPR022682;IPR022683;IPR022684
EOG091G024J	"vacuolar protein sorting 53 homolog (S. cerevisiae)"	322	303	19	832	0.9054	GO:0032456	IPR007234
EOG091G025T	"Integrator complex subunit 2"	318	294	24	1123	1.0468	GO:0016180	IPR026236;IPR029321
EOG091G0262	"excision repair cross-complementation group 2"	269	246	23	759	0.743	NA	IPR001945;IPR002464;IPR006554;IPR006555;IPR010614;IPR010643;IPR013020;IPR014013;IPR027417
EOG091G026F	"Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal"	304	272	32	774	0.8347	GO:0006399;GO:0006418;GO:0006425;GO:0034641;GO:0043039;GO:0044281	IPR000924;IPR001412;IPR004514;IPR007638;IPR007639;IPR011035;IPR014729;IPR020056;IPR020058;IPR020059;IPR020061
EOG091G026I	"vacuolar protein sorting 54 homolog (S. cerevisiae)"	319	289	30	966	1.1589	GO:0042147	IPR012501;IPR019515
EOG091G027G	"staphylococcal nuclease and tudor domain containing 1"	286	244	42	896	0.9594	GO:0031047;GO:0035194	IPR002999;IPR016071;IPR016685
EOG091G028G	"polymerase (DNA directed), gamma"	295	271	24	1161	1.0767	GO:0006264;GO:0009058;GO:0034641	IPR001098;IPR002297;IPR012337;IPR019760
EOG091G0291	"Helicase, C-terminal"	323	297	26	782	0.7085	GO:0006950;GO:0009411;GO:0034641	IPR001161;IPR001650;IPR006935;IPR014001;IPR027417;IPR032438;IPR032830
EOG091G029K	"N(alpha)-acetyltransferase 25, NatB auxiliary subunit"	321	304	17	952	1.2202	NA	IPR011990;IPR013026;IPR019183
EOG091G02B4	"ubiquitination factor E4B"	319	298	21	1219	1.0267	GO:0006464;GO:0006511;GO:0016567	IPR003613;IPR013083;IPR019474
EOG091G02BK	"HID1 domain containing"	312	271	41	783	0.7979	GO:0031001	IPR026705
EOG091G02C8	"component of oligomeric golgi complex 1"	309	281	28	890	1.5613	NA	NA
EOG091G02E4	"pentatricopeptide repeat domain 1"	300	281	19	668	1.439	NA	IPR002885
EOG091G02FR	"PHD finger protein 14"	305	277	28	897	1.0746	NA	IPR001841;IPR001965;IPR011011;IPR013083;IPR019786;IPR019787
EOG091G02HY	"nucleoporin 107kDa"	304	293	11	902	1.2229	GO:0006406	IPR007252
EOG091G02IP	"DEAH (Asp-Glu-Ala-His) box polypeptide 37"	313	290	23	1147	1.0044	NA	IPR001650;IPR002464;IPR003593;IPR007502;IPR011545;IPR011709;IPR014001;IPR027417
EOG091G02LY	"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"	326	300	26	713	0.7975	GO:0006397;GO:0034641	IPR003107;IPR008847;IPR011990
EOG091G02MR	"nuclear export mediator factor"	311	286	25	1031	1.0392	GO:0051168	IPR008532;IPR021846
EOG091G02NH	"membrane-bound transcription factor peptidase, site 1"	313	285	28	1052	0.8737	GO:0006508;GO:0006629	IPR000209;IPR015500;IPR022398;IPR023828
EOG091G02NO	"Helicase, C-terminal"	320	300	20	748	0.8689	NA	IPR001650;IPR022192;IPR027417
EOG091G02O5	"diphthamine biosynthesis 6"	312	292	20	354	0.9312	GO:0031647;GO:1903955	IPR002761;IPR014729;IPR030662
EOG091G02O6	"Vacuole morphology and inheritance protein 14"	309	271	38	695	0.9934	GO:0043550	IPR011989;IPR016024;IPR021841;IPR026825;IPR032878
EOG091G02OE	"HEAT repeat containing 6"	304	285	19	1094	1.4442	NA	IPR011989;IPR016024;IPR025283
EOG091G02P2	"component of oligomeric golgi complex 4"	322	295	27	752	1.0488	NA	IPR013167
EOG091G02UC	"TBC1 domain family, member 23"	315	297	18	679	1.0482	NA	IPR000195;IPR001763
EOG091G02V5	"eukaryotic translation initiation factor 3, subunit B"	320	298	22	687	0.8817	GO:0006446	IPR000504;IPR011042;IPR011400;IPR012677;IPR013979;IPR015943
EOG091G02VO	"solute carrier family 12, member 8"	298	281	17	705	1.1505	GO:0055085	IPR004841
EOG091G02WU	"tripartite motif containing 71, E3 ubiquitin protein ligase"	300	283	17	763	1.0838	NA	IPR000315;IPR001258;IPR001298;IPR011042;IPR013017;IPR013783;IPR014756;IPR017868
EOG091G02ZI	"SprT-like N-terminal domain"	321	300	21	487	0.9262	GO:0006281;GO:0006950;GO:0009411;GO:0019985;GO:0031398;GO:0034641	IPR006640;IPR006642
EOG091G0307	"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"	316	299	17	904	1.0426	NA	IPR000330;IPR001650;IPR003892;IPR014001;IPR027417
EOG091G031X	"dymeclin"	318	254	64	664	1.0359	GO:0007030;GO:0060348	IPR019142
EOG091G0321	"vacuolar protein sorting 51 homolog (S. cerevisiae)"	281	252	29	738	1.1165	GO:0032456;GO:0042147	IPR016159
