manuscript	dataset	partition_name	cluster_number
Chang2015	Chang2015	rps15	0
Nosenko2013	ribosomal_11057_smatrix	KOG1714	0
Moroz2014	ED3a	0351	0
Nosenko2013	ribosomal_14615_smatrix	KOG0397	0
Dunn2008	Dunn2008	Tribe199	0
Moroz2014	ED3a	0317	0
Chang2015	Chang2015	rpl11b	0
Chang2015	Chang2015	rpl12b	0
Whelan2017	Metazoa_Choano_RCFV_strict	Subset1_01	0
Philippe2009	Philippe2009	psmb-I	0
Whelan2017	Metazoa_full	Subset3_04	0
Nosenko2013	ribosomal_14615_smatrix	KOG0898	0
Philippe2009	Philippe2009	rad51-A	0
Chang2015	Chang2015	rpl19a	0
Borowiec2015	Total1080	OG390.fasta.aln_gene446	0
Nosenko2013	ribosomal_11057_smatrix	KOG0397	0
Borowiec2015	Total1080	OG731.fasta.aln_gene804	0
Nosenko2013	ribosomal_14615_smatrix	KOG1714	0
Nosenko2013	ribosomal_14615_smatrix	KOG1696	0
Nosenko2013	ribosomal_11057_smatrix	KOG1696	0
Whelan2017	Metazoa_full	Subset3_01	0
Chang2015	Chang2015	rpl1	0
Philippe2009	Philippe2009	psmb-J	0
Nosenko2013	ribosomal_11057_smatrix	KOG0898	0
Ryan2013	est.opisthokonta	gene6	0
Dunn2008	Dunn2008	Tribe174	0
Whelan2017	Metazoa_full	Subset3_03	0
Nosenko2013	ribosomal_14615_smatrix	KOG1475	0
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11247-2-42-Calc_Hmm10-BMGE05	0
Ryan2013	est.opisthokonta	gene14	0
Nosenko2013	ribosomal_14615_smatrix	KOG0886	0
Ryan2013	est.opisthokonta	gene339	0
Philippe2009	Philippe2009	psmb-K	0
Philippe2009	Philippe2009	rpl5	0
Nosenko2013	ribosomal_11057_smatrix	KOG0886	0
Whelan2017	Metazoa_full	Subset3_05	0
Dunn2008	Dunn2008	Tribe213	0
Nosenko2013	ribosomal_11057_smatrix	KOG1475	0
Chang2015	Chang2015	psmb	1
Philippe2009	Philippe2009	psma-G	1
Borowiec2015	Best108	OG427.fasta.aln_gene51	1
Dunn2008	Dunn2008	Tribe1162	1
Borowiec2015	Total1080	OG75.fasta.aln_gene834	1
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12531-42-Calc_Hmm10-BMGE05	1
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13432-42-Calc_Hmm10-BMGE05	1
Philippe2009	Philippe2009	psmb-H	1
Borowiec2015	Total1080	OG427.fasta.aln_gene487	1
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14987-42-Calc_Hmm10-BMGE05	1
Ryan2013	est.opisthokonta	gene403	1
Ryan2013	est.opisthokonta	gene398	1
Ryan2013	est.opisthokonta	gene238	1
Philippe2009	Philippe2009	psma-F	1
Dunn2008	Dunn2008	Tribe868	1
Philippe2009	Philippe2009	psma-C	1
Philippe2009	Philippe2009	psma-D	1
Moroz2014	ED3a	0851	1
Borowiec2015	Total1080	OG596.fasta.aln_gene661	1
Borowiec2015	Best108	OG75.fasta.aln_gene92	1
Hejnol2009	Hejnol2009	Tribe1379_0	1
Ryan2013	est.opisthokonta	gene402	1
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13815-42-Calc_Hmm10-BMGE05	1
Borowiec2015	Best108	OG596.fasta.aln_gene76	1
Dunn2008	Dunn2008	Tribe833	1
Ryan2013	est.opisthokonta	gene95	1
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14917-42-Calc_Hmm10-BMGE05	1
Hejnol2009	Hejnol2009	Tribe1038_0	1
Dunn2008	Dunn2008	Tribe703	1
