SMATRIX-Range	KOG
1 => 402	KOG0052
403 => 752	KOG1627
753 => 861	KOG3271
862 => 962	KOG3403
963 => 1267	KOG0327
1268 => 1387	KOG3387
1388 => 1559	KOG1475
1560 => 1766	KOG0857
1767 => 1928	KOG0397
1929 => 2087	KOG0886
2088 => 2241	KOG3295
2242 => 2403	KOG3204
2404 => 2494	KOG3421
2495 => 2692	KOG1678
2693 => 2840	KOG3353
2841 => 2979	KOG1714
2980 => 3134	KOG0829
3135 => 3259	KOG1696
3260 => 3398	KOG1732
3399 => 3476	KOG3353
3477 => 3557	KOG0901
3558 => 3665	KOG1751
3666 => 3762	KOG1723
3763 => 3876	KOG3401
3877 => 4005	KOG1742
4006 => 4105	KOG2988
4106 => 4209	KOG0893
4210 => 4329	KOG0878
4330 => 4430	KOG1790
4431 => 4544	KOG3436
4545 => 4644	KOG0887
4645 => 4706	KOG3452
4707 => 4786	KOG3475
4787 => 4873	KOG0402
4874 => 4932	KOG3499
4933 => 4969	KOG0002
4970 => 5168	KOG0746
5169 => 5269	KOG3464
5270 => 5549	KOG1475
5550 => 5787	KOG0875
5788 => 5916	KOG1694
5917 => 6118	KOG3184
6119 => 6339	KOG3166
6340 => 6585	KOG2309 
6586 => 6730	KOG3255
6731 => 6992	KOG0815
6993 => 7065	KOG1762
7066 => 7140	KOG3449
7141 => 7225	KOG3344
7226 => 7353	KOG1728
7354 => 7467	KOG0886
7468 => 7609	KOG0400
7610 => 7719	KOG0407
7720 => 7853	KOG0898
7854 => 7979	KOG1754
7980 => 8110	KOG1753
8111 => 8215	KOG0187
8216 => 8327	KOG3311
8328 => 8447	KOG3411
8448 => 8656	KOG0877
8657 => 8739	KOG0900
8740 => 8879	KOG1749
8880 => 8988	KOG3424
8989 => 9058	KOG1767
9059 => 9154	KOG1768
9155 => 9207	KOG1779
9208 => 9259	KOG0004
9260 => 9315	KOG3502
9316 => 9366	KOG3506
9367 => 9575	KOG3181
9576 => 9795	KOG1628
9796 => 9987	KOG0378
9988 => 10166	KOG2646
10167 => 10373	KOG1646
10374 => 10535	KOG3320
10536 => 10698	KOG3283
10699 => 10858	KOG3301
10859 => 11055	KOG0830
