SMATRIX-Range	KOG #
1 => 421	KOG0052
422 => 774	KOG1627
775 => 1573	KOG0469
1574 => 1853	KOG2767
1854 => 1962	KOG3271
1963 => 2228	KOG2314
2229 => 2341	KOG3403
2342 => 2497	KOG2768
2498 => 2652	KOG0466
2653 => 2965	KOG0327
2966 => 3339	KOG0328
3340 => 3460	KOG3387
3461 => 3862	KOG2573
3863 => 4073	KOG1475
4074 => 4281	KOG0857
4282 => 4445	KOG0397
4446 => 4607	KOG0886
4608 => 4763	KOG3295
4764 => 4928	KOG3204
4929 => 5032	KOG3421
5033 => 5231	KOG1678
5232 => 5385	KOG3353
5386 => 5540	KOG1714
5541 => 5700	KOG0829
5701 => 5876	KOG1696
5877 => 6023	KOG1732
6024 => 6102	KOG3353
6103 => 6230	KOG0901
6231 => 6338	KOG1751
6339 => 6454	KOG1722
6455 => 6579	KOG1723
6580 => 6699	KOG3401
6700 => 6831	KOG1742
6832 => 7198	KOG0746
7199 => 7300	KOG2988
7301 => 7406	KOG0893
7407 => 7529	KOG0878
7530 => 7632	KOG1790
7633 => 7750	KOG3436
7751 => 7851	KOG0887
7852 => 7931	KOG3452
7932 => 8015	KOG3475
8016 => 8103	KOG0402
8104 => 8165	KOG3499
8166 => 8215	KOG0002
8216 => 8317	KOG3464
8318 => 8607	KOG1475
8608 => 8873	KOG0875
8874 => 9004	KOG1694
9005 => 9207	KOG3184
9208 => 9429	KOG3166
9430 => 9678	KOG2309 
9679 => 9829	KOG3255
9830 => 10103	KOG0815
10104 => 10178	KOG1762
10179 => 10255	KOG3449
10256 => 10476	KOG1628
10477 => 10566	KOG3344
10567 => 10695	KOG1728
10696 => 10809	KOG0886
10810 => 10959	KOG0400
10960 => 11085	KOG0407
11086 => 11222	KOG0898
11223 => 11349	KOG1754
11350 => 11481	KOG1753
11482 => 11587	KOG0187
11588 => 11738	KOG3311
11739 => 11865	KOG3411
11866 => 12078	KOG0877
12079 => 12174	KOG0900
12175 => 12316	KOG1749
12317 => 12428	KOG3424
12429 => 12506	KOG1767
12507 => 12604	KOG1768
12605 => 12685	KOG1779
12686 => 12742	KOG0004
12743 => 12801	KOG3502
12802 => 12854	KOG3506
12855 => 13064	KOG3181
13065 => 13322	KOG0378
13323 => 13509	KOG2646
13510 => 13717	KOG1646
13718 => 13880	KOG3320
13881 => 14059	KOG3283
14060 => 14229	KOG3301
14230 => 14429	KOG0830
14430 => 14612	KOG2916
