component_number	matrix	partition_name	edges	nodes_in_component	component_density	BUSCO_ID	BUSCO_description	SwissProt_accession	SwissProt_description	GO_annotations	ribo_found
0	Whelan2015_D10	Gene_0557	2	5	0.7			Q9EPE9.2	RecName: Full=Manganese-transporting ATPase 13A1; Short=CATP	GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874	False
0	Whelan2015_D20	Gene_0557	2	5	0.7			Q9EPE9.2	RecName: Full=Manganese-transporting ATPase 13A1; Short=CATP	GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874	False
0	Whelan2017_full	Subset4_12	4	5	0.7	EOG091G00UD	P-type ATPase	P90747.3	RecName: Full=Probable manganese-transporting ATPase catp-8; AltName: Full=Cation transporting ATPase 8	GO:0005789; GO:0016021; GO:0005524; GO:0016887; GO:0046872; GO:0006812; GO:0006874	False
0	Simion2017	V2META10402-2-2-42-Calc_Hmm10-BMGE05	4	5	0.7	EOG091G00UD	P-type ATPase	Q9HD20.2	RecName: Full=Manganese-transporting ATPase 13A1	GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220	False
0	Whelan2015_D1	Gene_0557	2	5	0.7			Q9HD20.2	RecName: Full=Manganese-transporting ATPase 13A1	GO:0005789; GO:0016021; GO:0016020; GO:0005524; GO:0015410; GO:0046872; GO:0006874; GO:0034220	False
1	Whelan2017_full	Subset31_04	3	24	0.21739130434782608			A0A120HYZ1.1	RecName: Full=Lysine--tRNA ligase cla4; AltName: Full=Cladosporin biosynthesis cluster protein 4; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS	GO:0005737; GO:0005524; GO:0004824; GO:0003676; GO:0006430	False
1	Whelan2017_full	Subset2_08	2	24	0.21739130434782608	EOG091G06U0	ubiquitin specific peptidase 39	Q3TIX9.2	RecName: Full=U4/U6.U5 tri-snRNP-associated protein 2; AltName: Full=Inactive ubiquitin-specific peptidase 39	GO:0005654; GO:0005634; GO:0005681; GO:0046540; GO:0036459; GO:0008270; GO:0007049; GO:0051301; GO:0000398; GO:0016579; GO:0000245	False
1	Simion2017	V2META13689-42-Calc_Hmm10-BMGE05	3	24	0.21739130434782608	EOG091G0530	Aminoacyl-tRNA synthetase, class II (D/K/N)	P14868.2	RecName: Full=Aspartate--tRNA ligase, cytoplasmic; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; AltName: Full=Cell proliferation-inducing gene 40 protein	GO:0017101; GO:0005737; GO:0005829; GO:0070062; GO:0016020; GO:0045202; GO:0004046; GO:0004815; GO:0005524; GO:0003723; GO:0006422; GO:0065003; GO:0006412; GO:0006418	False
1	Whelan2017_strict	Subset19_01	20	24	0.21739130434782608	EOG091G0530	Aminoacyl-tRNA synthetase, class II (D/K/N)	P11029.1	RecName: Full=Acetyl-CoA carboxylase; Short=ACC; Includes: RecName: Full=Biotin carboxylase	GO:0005623; GO:0005737; GO:0003989; GO:0005524; GO:0009374; GO:0004075; GO:0050692; GO:0046872; GO:0005102; GO:0032810; GO:0046966; GO:0006633; GO:2001295; GO:0010628; GO:0045893; GO:0065008; GO:0040029; GO:0009743; GO:0070542; GO:0097066; GO:0006810	False
1	Borowiec2015_Total1080	OG52.fasta.aln_gene592	3	24	0.21739130434782608						
1	Hejnol2009	Tribe1172_0	3	24	0.21739130434782608			Q3SYZ4.1	RecName: Full=Aspartate--tRNA ligase, cytoplasmic; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS	GO:0017101; GO:0005829; GO:0004815; GO:0005524; GO:0003723; GO:0006422	False
1	Simion2017	V2META12988-42-Calc_Hmm10-BMGE05	5	24	0.21739130434782608			Q0VD01.1	RecName: Full=U3 small nucleolar ribonucleoprotein protein IMP4; Short=U3 snoRNP protein IMP4	GO:0001650; GO:0034457; GO:0005730; GO:0032040; GO:0030515; GO:0006364	False
1	Moroz2014_3d	0320	4	24	0.21739130434782608	EOG091G0CQ2	ribosome production factor 1 homolog	Q5R631.1	RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1	GO:0005730; GO:0003723; GO:0019843; GO:0006364	False
1	Nosenko2013_ribo_14615	KOG0875	5	24	0.21739130434782608			O44248.3	RecName: Full=60S ribosomal protein L5	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Borowiec2015_Best108	OG52.fasta.aln_gene65	3	24	0.21739130434782608			P37879.1	RecName: Full=Lysine--tRNA ligase; AltName: Full=Lysyl-tRNA synthetase; Short=LysRS	GO:0017101; GO:0005829; GO:0005576; GO:0005634; GO:0005886; GO:0003877; GO:0005524; GO:0004824; GO:0003676; GO:0015966; GO:0006430	False
1	Whelan2017_full	Subset24_03	6	24	0.21739130434782608			Q95276.3	RecName: Full=60S ribosomal protein L5	GO:0005737; GO:0022625; GO:0005730; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Borowiec2015_Total1080	OG202.fasta.aln_gene245	3	24	0.21739130434782608	EOG091G0530	Aminoacyl-tRNA synthetase, class II (D/K/N)				
1	Simion2017	V2META13732-42-Calc_Hmm10-BMGE05	6	24	0.21739130434782608			O44248.3	RecName: Full=60S ribosomal protein L5	GO:0022625; GO:0005634; GO:0008097; GO:0003735; GO:0000027; GO:0006412	True
1	Borowiec2015_Best108	OG43.fasta.aln_gene54	8	24	0.21739130434782608	EOG091G0CQ2	ribosome production factor 1 homolog	Q6IQU6.1	RecName: Full=Ribosome production factor 1; AltName: Full=Brix domain-containing protein 5; AltName: Full=Ribosome biogenesis protein RPF1	GO:0005730; GO:0030687; GO:0003723; GO:0019843; GO:0006364	False
1	Borowiec2015_Total1080	OG43.fasta.aln_gene500	8	24	0.21739130434782608	EOG091G0CQ2	ribosome production factor 1 homolog				
1	Borowiec2015_Total1080	OG44.fasta.aln_gene511	5	24	0.21739130434782608						
1	Nosenko2013_ribo_11057	KOG0875	5	24	0.21739130434782608			A2WXX3.2	RecName: Full=60S ribosomal protein L5-1	GO:0005634; GO:0005840; GO:0008097; GO:0003735; GO:0006412	True
