component_number	matrix_partition
0	Whelan2015_D10Gene_0557,Whelan2015_D20Gene_0557,Whelan2017_fullSubset4_12,Simion2017V2META10402-2-2-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0557,
1	Whelan2017_fullSubset31_04,Whelan2017_fullSubset2_08,Simion2017V2META13689-42-Calc_Hmm10-BMGE05,Whelan2017_strictSubset19_01,Borowiec2015_Total1080OG52.fasta.aln_gene592,Hejnol2009Tribe1172_0,Simion2017V2META12988-42-Calc_Hmm10-BMGE05,Moroz2014_3d320,Nosenko2013_ribo_14615KOG0875,Borowiec2015_Best108OG52.fasta.aln_gene65,Whelan2017_fullSubset24_03,Borowiec2015_Total1080OG202.fasta.aln_gene245,Simion2017V2META13732-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG43.fasta.aln_gene54,Borowiec2015_Total1080OG43.fasta.aln_gene500,Borowiec2015_Total1080OG44.fasta.aln_gene511,Nosenko2013_ribo_11057KOG0875,Simion2017V2META10174-2-42-Calc_Hmm10-BMGE05,Chang2015rpl5,Hejnol2009Tribe2313_0,Ryan2013_estgene71,Simion2017V2META15349-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0085,Ryan2013_estgene103,
2	Whelan2017_fullSubset29_02,Hejnol2009Tribe1717_0,Simion2017V2META13679-42-Calc_Hmm10-BMGE05,
3	Simion2017V2META13838-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1748_0,Borowiec2015_Total1080OG438.fasta.aln_gene498,Whelan2017_fullSubset29_05,Borowiec2015_Best108OG438.fasta.aln_gene53,
4	Whelan2017_fullSubset4_21,Moroz2014_3d1019,Simion2017V2META10342-1-1-42-Calc_Hmm10-BMGE05,
5	Whelan2017_fullSubset2_20,Simion2017V2META11108-42-Calc_Hmm10-BMGE05,Chang2015tribe1381,Hejnol2009Tribe1899_0,
6	Whelan2015_D1Gene_0443,Whelan2015_D20Gene_0443,Hejnol2009Tribe1932_0,Whelan2017_fullSubset30_02,Whelan2015_D10Gene_0443,Borowiec2015_Best108OG567.fasta.aln_gene72,Borowiec2015_Total1080OG567.fasta.aln_gene629,Simion2017V2META13230-42-Calc_Hmm10-BMGE05,
7	Whelan2017_fullSubset2_09,Simion2017V2META13215-42-Calc_Hmm10-BMGE05,
8	Simion2017V2META13102-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset2_15,Moroz2014_3d518,
9	Simion2017V2META12968-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset29_01,Borowiec2015_Total1080OG174.fasta.aln_gene214,
10	Whelan2017_fullSubset2_11,Borowiec2015_Total1080OG1142.fasta.aln_gene134,
11	Dunn2008Tribe1292,Whelan2017_fullSubset37_02,Philippe2009Gene_0124,Simion2017V2META14191-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1506_0,Chang2015vacaatpasepl21,
12	Whelan2017_fullSubset4_19,
13	Simion2017V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset2_23,Chang2015ef1_01,
14	Chang2015cct_01,Borowiec2015_Best108OG6.fasta.aln_gene88,Whelan2017_fullSubset3_01,Borowiec2015_Best108OG4.fasta.aln_gene62,Borowiec2015_Total1080OG6.fasta.aln_gene771,Simion2017V2META10144-2-1-42-Calc_Hmm10-BMGE05,Simion2017V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG3.fasta.aln_gene48,Simion2017V2META13072-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0008,Philippe2009Gene_0011,Borowiec2015_Total1080OG3.fasta.aln_gene457,Philippe2009Gene_0010,Simion2017V2META12513-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0012,Philippe2009Gene_0009,Philippe2009Gene_0005,Simion2017V2META10144-2-2-1-42-Calc_Hmm10-BMGE05,Ryan2013_estgene106,Borowiec2015_Total1080OG4.fasta.aln_gene564,Philippe2009Gene_0007,
15	Borowiec2015_Total1080OG390.fasta.aln_gene446,Nosenko2013_ribo_14615KOG0886,Chang2015rpl12b,Nosenko2013_ribo_11057KOG0886,Dunn2008Tribe213,Philippe2009Gene_0053,
16	Nosenko2013_ribo_11057KOG1696,Ryan2013_estgene6,Dunn2008Tribe174,Nosenko2013_ribo_14615KOG1696,Chang2015rpl19a,Philippe2009Gene_0060,Whelan2017_fullSubset3_04,
17	Borowiec2015_Best108OG30.fasta.aln_gene38,Borowiec2015_Total1080OG30.fasta.aln_gene361,Ryan2013_estgene339,Simion2017V2META11247-2-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset3_05,Whelan2017_fullSubset11_05,
18	Nosenko2013_nonribo_9187KOG1370,Philippe2009Gene_0118,
19	Nosenko2013_ribo_14615KOG0898,Ryan2013_estgene14,Chang2015rps15,Nosenko2013_ribo_11057KOG0898,Whelan2017_fullSubset3_03,Dunn2008Tribe199,Borowiec2015_Total1080OG731.fasta.aln_gene804,Philippe2009Gene_0095,
20	Borowiec2015_Total1080OG1130.fasta.aln_gene122,Borowiec2015_Best108OG1130.fasta.aln_gene8,Simion2017V2META11066-1-42-Calc_Hmm10-BMGE05,
21	Ryan2013_estgene104,Hejnol2009Tribe2987_0,Simion2017V2META13293-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset23_03,
22	Simion2017V2META13465-42-Calc_Hmm10-BMGE05,Ryan2013_estgene268,Whelan2017_fullSubset29_06,
23	Nosenko2013_ribo_14615KOG3424,Ryan2013_estgene365,Nosenko2013_ribo_11057KOG3424,Dunn2008Tribe243,Chang2015rps24,Philippe2009Gene_0104,
24	Whelan2015_D1Gene_0563,Whelan2017_fullSubset2_16,Whelan2015_D20Gene_0563,Whelan2015_D10Gene_0563,
25	Ryan2013_estgene247,Hejnol2009Tribe4799_0,Whelan2017_fullSubset2_04,Whelan2015_D1Gene_0101,Whelan2015_D10Gene_0101,
26	Borowiec2015_Total1080OG299.fasta.aln_gene349,Whelan2017_fullSubset29_07,Hejnol2009Tribe2262_0,
27	Ryan2013_estgene86,Whelan2017_fullSubset23_04,Dunn2008Tribe1118,Hejnol2009Tribe1563_0,
28	Simion2017V2META13674-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset2_12,Nosenko2013_nonribo_9187KOG1373,Ryan2013_estgene395,Borowiec2015_Total1080OG78.fasta.aln_gene866,Borowiec2015_Total1080OG79.fasta.aln_gene876,Borowiec2015_Best108OG79.fasta.aln_gene94,Whelan2017_fullSubset32_04,Philippe2009Gene_0038,Philippe2009Gene_0043,Simion2017V2META13728-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0039,Ryan2013_estgene150,Ryan2013_estgene23,Simion2017V2META14579-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0042,Chang2015psma_01,Simion2017V2META14938-42-Calc_Hmm10-BMGE05,Ryan2013_estgene76,Philippe2009Gene_0037,Philippe2009Gene_0040,Ryan2013_estgene172,Simion2017V2META14414-42-Calc_Hmm10-BMGE05,
29	Philippe2009Gene_0017,Whelan2015_D1Gene_0542,Borowiec2015_Total1080OG423.fasta.aln_gene483,Borowiec2015_Best108OG423.fasta.aln_gene50,Whelan2017_fullSubset32_03,Whelan2015_D20Gene_0542,Chang2015fibri,Simion2017V2META14219-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0542,
30	Simion2017V2META13770-42-Calc_Hmm10-BMGE05,Ryan2013_estgene125,Borowiec2015_Total1080OG167.fasta.aln_gene207,Borowiec2015_Best108OG167.fasta.aln_gene17,Whelan2017_fullSubset21_07,
31	Borowiec2015_Total1080OG617.fasta.aln_gene683,Simion2017V2META13371-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset21_06,Whelan2015_D1Gene_0658,Whelan2015_D10Gene_0658,Hejnol2009Tribe1790_0,Whelan2015_D20Gene_0658,Dunn2008Tribe1294,Ryan2013_estgene61,Chang2015tribe1294,
32	Simion2017V2META12496-42-Calc_Hmm10-BMGE05,Moroz2014_3d1018,Whelan2017_fullSubset2_22,
33	Simion2017V2META11690-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset2_05,Ryan2013_estgene373,Simion2017V2META12747-42-Calc_Hmm10-BMGE05,
34	Simion2017V2META12970-42-Calc_Hmm10-BMGE05,
35	Simion2017V2META10192-2-1-42-Calc_Hmm10-BMGE05,
36	Simion2017V2META10192-2-2-1-42-Calc_Hmm10-BMGE05,
37	Borowiec2015_Total1080OG491.fasta.aln_gene555,Simion2017V2META10192-1-1-42-Calc_Hmm10-BMGE05,
38	Simion2017V2META13563-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset21_10,Borowiec2015_Total1080OG355.fasta.aln_gene409,
39	Dunn2008Tribe833,Hejnol2009Tribe916_0,Borowiec2015_Total1080OG427.fasta.aln_gene487,Dunn2008Tribe1162,Simion2017V2META14987-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0050,Simion2017V2META14100-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG75.fasta.aln_gene834,Ryan2013_estgene398,Simion2017V2META13432-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0048,Simion2017V2META13815-42-Calc_Hmm10-BMGE05,Simion2017V2META12531-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1038_0,Philippe2009Gene_0044,Borowiec2015_Total1080OG596.fasta.aln_gene661,Chang2015psmb_01,Simion2017V2META14917-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0047,Ryan2013_estgene238,Ryan2013_estgene402,Hejnol2009Tribe1379_0,Borowiec2015_Best108OG75.fasta.aln_gene92,Philippe2009Gene_0046,Nosenko2013_nonribo_9187KOG0185,Dunn2008Tribe703,Dunn2008Tribe868,Borowiec2015_Best108OG427.fasta.aln_gene51,Borowiec2015_Best108OG596.fasta.aln_gene76,Ryan2013_estgene95,Philippe2009Gene_0045,
40	Hejnol2009Tribe1658_0,Whelan2015_D10Gene_0703,Whelan2017_fullSubset20_04,Borowiec2015_Best108OG689.fasta.aln_gene87,Whelan2015_D1Gene_0703,Simion2017V2META13794-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0703,Borowiec2015_Total1080OG689.fasta.aln_gene758,
41	Simion2017V2META14160-42-Calc_Hmm10-BMGE05,Ryan2013_estgene16,Hejnol2009Tribe2345_0,Simion2017V2META13766-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG271.fasta.aln_gene319,Whelan2017_fullSubset18_02,
42	Whelan2017_fullSubset20_02,Simion2017V2META14192-42-Calc_Hmm10-BMGE05,Ryan2013_estgene173,
